docID;Date;Uncertainty_unspecified_noun;Uncertainty_unspecified_noun_neg;Uncertainty_unspecified_verb;Uncertainty_unspecified_verb_neg;Uncertainty_unspecified_othertype;Uncertainty_unspecified_othertype_neg;Uncertainty_fear_noun;Uncertainty_fear_noun_neg;Uncertainty_fear_verb;Uncertainty_fear_verb_neg;Uncertainty_fear_othertype;Uncertainty_fear_othertype_neg;Uncertainty_hope_noun;Uncertainty_hope_noun_neg;Uncertainty_hope_verb;Uncertainty_hope_verb_neg;Uncertainty_hope_othertype;Uncertainty_hope_othertype_neg;Uncertainty_anxiety_noun;Uncertainty_anxiety_noun_neg;Uncertainty_anxiety_verb;Uncertainty_anxiety_verb_neg;Uncertainty_anxiety_othertype;Uncertainty_anxiety_othertype_neg;Uncertainty_conditionality1;Uncertainty_conditionality1_pos;Uncertainty_conditionality1_neg;Uncertainty_conditionality2;Uncertainty_conditionality2_pos;Uncertainty_conditionality2_neg;Surprise_unspecified_noun;Surprise_unspecified_noun_neg;Surprise_unspecified_verb;Surprise_unspecified_verb_neg;Surprise_unspecified_othertype;Surprise_unspecified_othertype_neg;Surprise_disappointment_noun;Surprise_disappointment_noun_neg;Surprise_disappointment_verb;Surprise_disappointment_verb_neg;Surprise_disappointment_othertype;Surprise_disappointment_othertype_neg;Surprise_relief_noun;Surprise_relief_noun_neg;Surprise_relief_verb;Surprise_relief_verb_neg;Surprise_relief_othertype;Surprise_relief_othertype_neg;Surprise_comparative;Valence_Pos;Valence_Neg
100697;29.06.2015;4;0;1;0;14;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;13;47
100698;29.06.2015;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;5
100984;29.06.2015;0;0;3;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;11
101739;30.06.2015;1;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;17
102573;30.06.2015;3;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;7
102611;30.06.2015;4;0;0;0;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;18
102873;01.07.2015;5;0;3;0;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;5;18
102874;01.07.2015;3;0;2;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;7
1034;12.03.2015;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;4
10417;23.03.2015;1;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;17;9
