docID,Date,Uncertainty_unspecified_noun,Uncertainty_unspecified_noun_neg,Uncertainty_unspecified_verb,Uncertainty_unspecified_verb_neg,Uncertainty_unspecified_othertype,Uncertainty_unspecified_othertype_neg,Uncertainty_fear_noun,Uncertainty_fear_noun_neg,Uncertainty_fear_verb,Uncertainty_fear_verb_neg,Uncertainty_fear_othertype,Uncertainty_fear_othertype_neg,Uncertainty_hope_noun,Uncertainty_hope_noun_neg,Uncertainty_hope_verb,Uncertainty_hope_verb_neg,Uncertainty_hope_othertype,Uncertainty_hope_othertype_neg,Uncertainty_anxiety_noun,Uncertainty_anxiety_noun_neg,Uncertainty_anxiety_verb,Uncertainty_anxiety_verb_neg,Uncertainty_anxiety_othertype,Uncertainty_anxiety_othertype_neg,Uncertainty_conditionality1,Uncertainty_conditionality1_pos,Uncertainty_conditionality1_neg,Uncertainty_conditionality2,Uncertainty_conditionality2_pos,Uncertainty_conditionality2_neg,Surprise_unspecified_noun,Surprise_unspecified_noun_neg,Surprise_unspecified_verb,Surprise_unspecified_verb_neg,Surprise_unspecified_othertype,Surprise_unspecified_othertype_neg,Surprise_disappointment_noun,Surprise_disappointment_noun_neg,Surprise_disappointment_verb,Surprise_disappointment_verb_neg,Surprise_disappointment_othertype,Surprise_disappointment_othertype_neg,Surprise_relief_noun,Surprise_relief_noun_neg,Surprise_relief_verb,Surprise_relief_verb_neg,Surprise_relief_othertype,Surprise_relief_othertype_neg,Surprise_comparative,Valence_Pos,Valence_Neg
100055,2015-06-28,5,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,32
100231,2015-06-28,5,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,32
100926,2015-06-29,10,0,0,0,6,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,26
1031,2015-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,13
107537,2015-07-06,2,0,7,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,47
108821,2015-07-07,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,20,12,34
110333,2015-07-08,6,0,8,1,24,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,21,20,91
110563,2015-07-08,2,1,3,1,11,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,20,66
112000,2015-07-09,0,0,1,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6
112855,2015-07-10,0,0,1,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,7
112946,2015-07-10,3,1,6,0,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,26,8,53
114871,2015-07-13,2,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,69
