docID,date,refDocID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
202439,2015-08-24,202439,0,brazil,mon,site,time,country,economy,fiscal,follow,banned,link,rousseff,decision,policy,dont,investment,government,economic,pmdb,party,olympics
203844,2015-08-26,202439,1,market,stock,fed,debt,policy,financial,relative,rate,markets,fiscal,time,major,metrics,investors,credit,economy,price,currently,government,rates
158058,2015-08-27,202439,2,quarter,pace,spending,gdp,upward,profits,estimate,percentage,advanced,revision,advance,growth,annual,thats,initial,investment,quarters,government,economy,spring
203683,2015-08-27,158058,3,share,psec,million,fiscal,quarter,fourth,company,psecs,investment,reported,companys,net,nav,projections,nii,projection,portfolio,income,appreciation,projected
203699,2015-08-27,203844,4,global,fed,policy,markets,economic,inflation,fiscal,current,monetary,tightening,eurozone,chinese,budget,economy,groupthink,reserve,growth,crisis,parochial,week
157872,2015-08-28,203683,5,quarter,million,market,fiscal,business,prior,megapixel,china,markets,sales,compared,automotive,product,margin,call,thank,approximately,products,growth,continue
202668,2015-08-28,202439,6,saudi,government,oil,fri,spending,peak,sat,billion,debt,war,arabia,reserves,prices,market,military,site,fx,follow,time,banned
159252,2015-08-31,202439,7,news,government,primary,deficit,budget,congress,percent,reuters,public,business,revenue,barbosa,raise,spending,brazil,rousseffs,fears,credit,borrowing,rousseff
202798,2015-08-31,202439,8,budget,fiscal,gdp,site,government,primary,deficit,follow,banned,mon,proposal,link,brazil,growth,financial,president,sources,surplus,print,rating
159290,2015-09-01,157872,9,frsh,company,fiscal,franchise,frshs,million,premium,multiple,growth,assetlight,seeking,stock,alpha,sss,companys,franchisees,pro,currently,margin,increase
159294,2015-09-01,159290,10,fiscal,sbux,premium,million,stock,sp,seeking,past,alpha,multiple,business,company,consensus,starbucks,basis,growth,following,reaching,coffee,pro
159303,2015-09-01,159294,11,fiscal,vnce,stock,million,sp,vnces,seeking,past,alpha,multiple,business,trading,consensus,fcf,basis,discount,reaching,segment,pro,margin
159577,2015-09-01,159294,12,fiscal,sp,vsis,past,company,vsi,million,ratio,seeking,stock,alpha,multiple,forward,revenue,consensus,contract,basis,vitamin,headwinds,supplements
159656,2015-09-01,159252,13,spending,construction,percent,news,july,outlays,private,reuters,level,rose,business,quarter,nonresidential,sector,increased,government,economy,providing,largest,projects
159906,2015-09-01,159656,14,construction,spending,economy,growth,months,rate,previous,overall,economics,revised,secondquarter,investment,third,quarter,bank,seven,below,improving,news,suggesting
159943,2015-09-01,159656,15,spending,percent,construction,news,july,economy,level,sector,fell,data,business,government,private,reading,factory,reuters,month,manufacturing,index,activity
160077,2015-09-01,157872,16,sales,fiscal,million,market,quarter,business,growth,firstfit,markets,europe,guidance,aftermarket,jim,decline,tod,company,look,share,expect,thats
160369,2015-09-02,157872,17,million,fiscal,quarter,company,lifevantage,distributors,revenue,sales,growth,compared,fourth,stock,call,selling,product,direct,business,plan,results,industry
160382,2015-09-02,159290,18,spending,healthcare,percent,age,mean,seeking,cost,alpha,personal,dividends,household,stocks,pro,health,dollar,consumption,investors,gdp,averaging,recession
160610,2015-09-02,160369,19,million,revenue,license,fiscal,quarter,customers,tier,data,term,thats,services,customer,business,nongaap,call,fourth,insurancesuite,total,expect,anticipate
160695,2015-09-02,159656,20,advertising,percent,news,spending,growth,media,digital,thai,economy,forecast,reuters,market,online,business,ad,advertisers,video,thailands,world,consumers
161076,2015-09-02,159294,21,fiscal,mmm,company,billion,past,balance,trading,sp,sheet,premium,seeking,alpha,margin,multiple,due,consensus,fcf,basis,growth,reaching
161082,2015-09-02,159303,22,flws,fiscal,discount,past,stock,trading,revenue,flwss,sp,growth,seeking,alpha,margin,multiple,company,consensus,fcf,million,basis,relative
161252,2015-09-02,159252,23,news,rousseff,fiscal,brazils,reuters,levy,budget,finance,business,temporary,weakened,primary,minutes,thomson,deficit,congress,delayed,click,opposition,information
161808,2015-09-03,159656,24,spending,construction,level,july,private,seeking,peak,pro,alpha,rose,singlefamily,remained,residential,below,nonresidential,seen,thank,june,increased,forward
161836,2015-09-03,160369,25,business,growth,quarter,ebitda,fiscal,million,revenue,segment,fourth,adjusted,development,customers,product,performance,technologies,financial,slide,constant,okay,mix
164203,2015-09-05,158058,26,economy,consumer,china,spending,gdp,growth,consumption,chinese,services,entrepreneurs,able,percent,transition,percentage,government,time,chinas,consumers,means,seeking
164486,2015-09-06,164203,27,consumers,inflation,taxes,spending,wages,prices,local,tax,spend,gas,means,commodities,time,consumer,seeking,continue,alpha,impact,wage,governments
164866,2015-09-07,161808,28,infrastructure,investment,spending,bridges,time,seeking,crumbling,pro,alpha,economy,america,billion,thank,economies,dams,average,forward,look,financial,sitting
165507,2015-09-08,203699,29,policy,fed,market,rates,growth,falling,monetary,markets,china,prices,question,yuan,real,capital,expectations,commodity,isnt,economy,rate,inflation
165509,2015-09-08,161082,30,company,matrix,fiscal,project,growth,service,eps,epc,revenue,acquisition,million,construction,doubledigit,quarter,share,billion,seeking,alpha,track,midpoint
166219,2015-09-08,161836,31,million,fiscal,quarter,revenues,ebitda,business,fourth,north,adjusted,oil,leasing,pricing,call,rate,time,approximately,gas,compared,yes,operations
166621,2015-09-09,159656,32,oil,news,percent,government,income,reuters,budget,finance,mexico,output,drop,spending,videgaray,cut,term,business,company,bank,economy,central
166626,2015-09-09,203844,33,news,debt,policy,kocherlakota,monetary,economy,rates,fed,reuters,risk,public,business,official,financial,fiscal,help,minutes,thomson,federal,levels
167152,2015-09-09,161252,34,news,reuters,spending,house,business,government,boehner,measure,decisions,minutes,bill,thomson,consideration,congress,delayed,click,information,finance,requires,wednesday
167265,2015-09-09,161836,35,fiscal,revenue,million,ebitda,growth,pass,mountain,season,adjusted,segment,currency,call,basis,prior,resorts,guidance,increased,results,estate,real
167365,2015-09-09,166621,36,rousseff,government,news,brazils,programs,business,economy,minister,taxes,social,levy,spending,percent,austerity,tax,cut,budget,finance,credit,billion
167819,2015-09-10,160369,37,million,quarter,fourth,fiscal,net,facility,coffee,call,income,financial,customers,nongaap,plan,relocation,corporate,torrance,phase,sales,related,available
167896,2015-09-10,202439,38,wed,brazil,sp,gdp,follow,fiscal,site,banned,link,growth,real,dont,economy,political,vs,shit,brazilian,policy,heres,cock
167934,2015-09-10,165509,39,giii,apparel,fiscal,revenue,quarter,company,million,guidance,eps,income,glance,margin,third,growth,half,business,net,passing,fullyear,rate
167968,2015-09-10,160610,40,fiscal,million,market,customers,growth,lot,quarter,security,traps,sales,revenue,platform,share,basis,customer,thats,call,business,technology,services
167972,2015-09-10,165509,41,million,quarter,fiscal,third,compared,project,approximately,development,cash,expected,commercial,revenue,limoneira,property,lewis,acres,period,share,agribusiness,earnings
168887,2015-09-10,167365,42,news,government,rousseff,austerity,measures,president,congress,thursday,brazil,cut,business,investors,economic,ability,revenues,governments,reuters,levy,stimulus,country
168964,2015-09-11,160369,43,million,quarter,revenue,cloud,fiscal,compared,fourth,egain,gross,business,total,call,financial,loss,digital,customers,results,subscription,basis,conference
169169,2015-09-11,164866,44,infrastructure,sp,global,index,dow,trademark,jones,llc,seeking,pro,alpha,investment,dji,companies,threeyear,thank,fund,hedged,energy,information
169499,2015-09-11,168887,45,spending,funding,government,congress,extension,fiscal,lawmakers,december,republicans,sequester,measures,highway,real,economics,republican,shortterm,shutdown,tax,probably,planned
169707,2015-09-11,168964,46,fiscal,quarter,third,million,nine,net,months,call,compared,sales,occ,period,gross,markets,profit,decreased,conference,results,share,expenses
169739,2015-09-11,169707,47,million,quarter,fiscal,sales,fourth,increase,gross,profit,segment,human,basis,products,health,share,income,business,product,net,compared,okay
170448,2015-09-12,167896,48,site,link,follow,banned,increased,isis,zero,cftc,semi,policies,policy,speculators,heres,actions,hedge,rights,futures,history,reveals,notice
170509,2015-09-12,167365,49,gdp,tax,taxes,budget,government,individual,seeking,federal,deficit,spending,pro,alpha,growth,income,billion,thank,past,relative,line,increased
171362,2015-09-14,166621,50,news,government,billion,surplus,budget,canada,fiscal,reuters,earlier,deficits,deficit,percent,run,finance,business,economy,expected,plan,trudeau,reserve
171862,2015-09-14,167152,51,news,billion,budget,measures,government,reais,reuters,business,cuts,subsidies,minutes,thomson,delayed,spending,click,information,cut,finance,requires,investments
171870,2015-09-14,171862,52,news,budget,billion,reuters,business,revenue,cuts,reais,sources,minutes,thomson,delayed,spending,click,information,rousseffs,finance,measures,requires,government
172129,2015-09-15,167819,53,fiscal,million,customers,weve,cash,time,programs,commercial,quarter,customer,call,supply,agreement,financial,fourth,thank,sales,thats,existing,start
172163,2015-09-15,166621,54,pqe,rate,government,target,reserve,ior,balances,boe,central,bank,spending,banks,qe,table,operations,omfg,debt,policy,pvd,inflationary
172286,2015-09-15,171362,55,percent,fiscal,growth,news,spending,yuan,economy,chinas,reuters,china,investment,rose,august,economic,local,trillion,government,yy,earlier,policy
172451,2015-09-15,167365,56,spending,app,budget,help,track,personal,financial,accounts,free,mint,set,save,finance,credit,apps,create,time,easy,complete,finances
172460,2015-09-15,159943,57,percent,news,sales,spending,production,factory,output,auto,month,stores,data,july,retail,economy,fed,reuters,consumer,fell,market,manufacturing
172803,2015-09-15,171862,58,news,rousseff,reuters,business,government,reduction,announce,brazils,ministries,minutes,thomson,delayed,spending,click,information,cut,finance,requires,wednesday,subject
173092,2015-09-15,171362,59,news,percent,reuters,bill,economy,fiscal,argentinas,budget,government,policies,primary,markets,domestic,business,economic,inflation,takes,pace,minutes,thomson
173184,2015-09-15,168964,60,quarter,fiscal,fourth,million,revenue,dover,gross,compared,margin,margins,acquisition,contract,call,waller,pipeline,continue,services,terms,weve,increase
