docID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,brazil,mon,site,time,country,economy,fiscal,follow,link,banned,rousseff,decision,dont,policy,economic,pmdb,party,grade,investment,government
1,market,stock,fed,debt,policy,financial,relative,rate,fiscal,major,markets,time,metrics,investors,credit,economy,price,currently,equity,government
2,quarter,pace,spending,gdp,upward,estimate,percentage,advanced,profits,advance,initial,revision,growth,annual,thats,quarters,economy,strongest,faster,inventory
3,share,psec,million,fiscal,quarter,fourth,company,psecs,investment,reported,companys,net,nav,nii,projections,income,projection,portfolio,projected,appreciation
4,global,fed,policy,markets,economic,fiscal,inflation,current,monetary,tightening,chinese,eurozone,budget,economy,groupthink,crisis,week,reserve,growth,parochial
5,quarter,million,market,fiscal,business,prior,megapixel,china,markets,sales,compared,product,automotive,margin,call,thank,approximately,products,growth,continue
6,saudi,oil,government,fri,spending,sat,peak,billion,debt,arabia,prices,war,reserves,market,military,site,fx,follow,link,time
7,news,government,primary,deficit,budget,congress,percent,reuters,public,business,revenue,barbosa,raise,spending,brazil,credit,borrowing,rousseff,lawmakers,earlier
8,budget,fiscal,gdp,site,government,primary,deficit,follow,mon,proposal,link,banned,brazil,growth,president,sources,surplus,print,tax,financial
9,frsh,company,fiscal,franchise,frshs,million,premium,multiple,alpha,sss,growth,assetlight,seeking,stock,companys,pro,margin,franchisees,currently,increase
10,fiscal,sbux,premium,million,stock,sp,alpha,seeking,past,multiple,business,company,reaching,pro,margin,strong,consensus,starbucks,basis,growth
11,fiscal,vnce,stock,million,sp,alpha,vnces,seeking,past,multiple,business,trading,fcf,reaching,pro,margin,consensus,basis,discount,segment
12,fiscal,sp,vsis,past,company,million,alpha,vsi,ratio,seeking,stock,multiple,revenue,vitamin,premium,reaching,pro,forward,consensus,contract
13,spending,construction,percent,news,july,outlays,reuters,level,private,rose,business,quarter,nonresidential,sector,increased,economy,providing,largest,solid,minutes
14,construction,spending,economy,growth,months,previous,overall,secondquarter,rate,economics,revised,third,quarter,bank,below,improving,news,suggesting,decades,worst
15,spending,percent,construction,news,july,economy,level,sector,fell,data,business,reading,factory,reuters,month,manufacturing,index,dollar,government,private
16,sales,fiscal,million,market,quarter,business,growth,firstfit,markets,europe,guidance,aftermarket,jim,decline,company,tod,look,share,expect,thats
17,million,fiscal,quarter,company,lifevantage,distributors,revenue,compared,sales,growth,fourth,stock,call,product,direct,selling,business,plan,results,industry
18,spending,healthcare,percent,age,mean,cost,alpha,personal,seeking,dividends,household,stocks,pro,health,dollar,consumption,investors,gdp,sector,product
19,million,revenue,license,fiscal,quarter,customers,tier,data,term,thats,services,customer,business,nongaap,call,fourth,insurancesuite,total,expect,rd
20,advertising,percent,news,spending,growth,media,digital,thai,economy,reuters,market,forecast,online,business,ad,video,world,consumers,thakol,overall
21,fiscal,mmm,company,billion,past,balance,trading,sp,premium,alpha,margin,sheet,seeking,multiple,due,fcf,reaching,pro,strong,consensus
22,flws,fiscal,discount,past,stock,trading,revenue,sp,alpha,margin,flwss,growth,seeking,multiple,company,fcf,million,relative,reaching,market
23,news,rousseff,fiscal,brazils,reuters,levy,budget,finance,business,temporary,minutes,congress,delayed,weakened,primary,thomson,deficit,information,worlds,nasdaq
24,spending,construction,level,july,pro,alpha,private,seeking,peak,rose,singlefamily,remained,below,nonresidential,residential,seen,thank,june,increased,reached
25,business,growth,quarter,fiscal,ebitda,million,revenue,segment,fourth,adjusted,development,customers,product,performance,technologies,slide,constant,financial,okay,mix
26,economy,consumer,china,spending,gdp,growth,consumption,chinese,services,entrepreneurs,able,percent,percentage,transition,chinas,consumers,alpha,government,time,means
27,consumers,inflation,taxes,spending,wages,prices,tax,local,spend,gas,commodities,means,alpha,time,consumer,seeking,continue,impact,wage,governments
28,infrastructure,spending,investment,pro,alpha,bridges,time,seeking,crumbling,economy,america,billion,thank,economies,dams,average,sitting,create,decades,shortly
