docID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,managers,premium,fund,investors,floating,trailing,assets,trading,yield,rate,funds,car,instruments,handily,companies,pouring,created,race,bond,pegged,constrained,replace,wheel,noted,receiving,changing,leveraged,huge,example,extreme,slight,received,rising,specified,prevailing,demand,performance,markets,essentially,prized,individual,run,expensive,usually,vengeance,alternatives,willingly,alternative,loan,cant
1,investors,rate,market,released,language,correction,monetary,ideas,removal,frosty,indicated,likelihood,trendline,buried,created,policy,patient,resolved,remove,laid,remembering,ahead,possibility,focused,exports,precede,perspective,thereafter,statement,expected,receiving,avoided,month,changing,significantly,resolution,value,data,capital,tap,winter,overdone,sensationalism,creation,overnight,received,memories,recently,rising,cost
2,companies,products,software,breach,identified,forensics,data,forecasting,notoriety,revenue,forecasted,infancy,space,growth,losing,pick,reported,created,cooled,company,competing,scrambling,merger,generation,doubled,cyber,keeping,identifying,integrating,target,popped,lot,breached,leaving,trying,individual,sitting,receiving,penetration,investors,lately,technology,themselves,missed,flow,fallen,received,play,product,engaged
3,gold,production,mine,created,deserved,investors,achieved,expected,producing,budget,mines,approximately,released,buying,price,according,company,receiving,discovered,including,following,bit,received,million,opportunity,drop,updated,profile,correct,individual,schedule,current,projects,commercial,forward,unnoticed,guidance,announced,unwarranted,managers,product,feasibility,assets,study,throughput,index,severity,annual,remains,ahead
4,oil,drilling,crude,block,projects,expected,lower,energy,company,production,investors,pricing,created,plans,squeezed,start,leveraging,able,coupled,average,allow,receiving,price,shifting,exploration,offshore,discovered,bolster,forward,platforms,rig,received,projected,profile,investigation,individual,decline,fell,field,consequent,forecasted,picking,managed,lead,growth,wont,losing,managers,companies,happy
5,silver,expected,gold,assets,million,mine,metal,turnaround,dynamics,pricing,mining,forward,company,investors,improve,grade,sales,consumption,created,plans,deposit,addition,focusing,analysts,markets,generated,seeing,adding,according,demand,able,increase,consequently,cost,ore,key,improvement,receiving,bottom,set,discovery,cash,completed,unit,asset,forecast,acquisition,production,increasing,flow
6,restaurant,growth,sales,seeking,staring,comp,guidance,sold,earnings,ago,fad,created,pulled,concision,analysts,casual,popular,menu,regarding,ideas,increase,food,stock,questioning,taste,blown,pushed,investors,multiple,forward,data,adviser,digit,service,received,allowed,comparable,crescendo,ratings,listening,boldly,line,revenue,growing,average,totaled,strategies,craving,nine,scenario
7,housing,data,investors,sales,home,rising,houses,increased,sold,growing,expected,short,float,homes,created,appreciated,selling,associated,forward,declining,operations,considering,according,market,receiving,cash,supply,addition,affecting,received,product,preceding,positive,headwind,price,construction,average,helped,indicated,individual,run,recorded,communities,past,recent,falling,picking,pricing,company,driven
8,ethanol,metrics,undervalued,investors,sales,price,stock,smart,overall,moderately,institutions,company,growth,looking,trailing,products,bullish,profile,predict,average,food,solid,increased,short,maintained,empirically,twelve,academic,market,money,producers,winning,undervaluation,losing,valuation,soybean,created,predictive,industry,qualitative,value,flow,free,corn,basis,shedding,representing,oil,extremely,meal
9,gold,assets,silver,production,improving,focused,investors,forward,driven,performance,created,favoring,metal,metals,cash,company,estimated,declining,generated,improve,considering,keeping,able,averaged,increase,cost,decreasing,expected,chart,receiving,reducing,primed,deliver,enabling,project,received,metrics,equivalent,delivered,graphical,individual,below,forecasted,fiscal,added,low,managed,pricing,weak,result
10,fake,company,brand,drywall,created,proxy,parody,st,produced,companies,weed,news,speech,times,hated,minds,fortunately,population,products,proof,name,actually,amazing,shopping,vote,site,cant,eat,earnings,named,competing,cited,addressed,killer,deliberately,seeing,returned,social,happen,published,crops,lot,product,own,trailing,feared,described,discussed,expected,share
11,securing,management,du,offered,influence,held,progress,seat,breaking,reported,created,released,letter,de,kneeling,quoted,closing,terms,crippled,highlighted,receiving,investors,changing,believing,position,data,including,waking,sleeping,spoke,company,received,reporting,short,giant,yesterday,unaccountable,red,paid,provoking,individual,illustrated,backtrack,campaign,immediately,smear,muddy,cant,slightly,managers
12,euro,currency,inverse,dollar,created,hovering,appreciated,dipped,looking,easing,depreciated,receiving,initiated,quickly,investors,quantitative,received,increased,hiking,individual,fell,falling,traded,announced,undervalued,managers,product,plans,managing,program,knife,strengthening,depreciate,head,shortly,loose,developed,contact,return,fundamentally,funds,forward,data,opposite,smarter,utilize,fresh,trillion,favorable,flagship
13,sales,acquired,returned,commercial,automobile,company,growth,passenger,strong,companies,markets,luxury,fallen,market,operations,production,growing,lined,vehicle,trucks,launching,ventures,created,putting,plans,brand,lines,stock,pipeline,cheap,seeing,adding,exports,domestic,performance,segment,economic,car,economy,amongst,strength,improved,internationally,desired,products,receiving,set,investors,industry,traction
14,ore,iron,growing,manganese,metals,assets,nickel,ferrous,received,debt,involved,investors,steel,segment,created,putting,dictated,plans,saturated,failed,extraction,thirds,eliminated,included,doubled,company,expected,receiving,decided,terminal,coal,copper,returning,production,including,nonferrous,product,increased,coming,invested,real,confirmed,unsatisfactory,exposed,cobalt,reduced,religiously,services,paid,decreased
15,transfer,metrics,seeking,receiving,money,banks,physical,model,cost,sending,classic,investors,competitive,tech,convenient,pitch,business,charged,antiquated,gross,disbursement,playbook,created,perfected,electronic,customer,online,traditional,disruptive,upended,banking,terms,evolved,looking,world,million,transaction,little,mobile,highly,tangible,initiating,shortsightedness,pushed,cash,partner,systems,innovative,blinding,providing
16,sales,burger,store,investors,stores,annualized,outlook,received,sold,expected,domestic,operating,created,weekly,prospectus,valued,dropped,tripling,keeping,quality,receiving,decided,margin,company,buzzer,adjusted,short,facing,cheeseburger,confirmed,projected,excellent,friend,average,decreased,individual,waiter,divided,current,count,priced,sit,drove,competition,lower,low,beat,scheduled,doubling,stock
17,prepaid,contract,revenue,products,sales,card,initiatives,commission,fallen,industry,cards,significantly,growth,renewal,sold,reduced,million,reload,deal,extension,fee,created,attained,plans,company,recent,generated,generation,unsustainable,according,rate,hurting,noted,niche,highlighted,derived,played,receiving,reducing,quarter,masking,investors,ignored,processing,hitting,including,thesis,increasing,earned,dramatically
18,earth,rare,investors,kg,sales,production,created,bonded,rebound,andor,receiving,viable,expired,following,halved,received,regardless,product,increased,price,average,helped,applications,held,individual,decline,segment,expansion,chart,managers,broke,companies,protected,elephant,pink,estimated,associated,focused,review,operations,period,shortly,company,experienced,contact,buck,motors,automotive,electronics,patent
19,liver,investors,short,trying,companies,initiatives,distract,hype,insider,selling,sold,expected,pharmaceutical,company,revenue,created,titled,lines,suspicious,cited,substantial,product,stock,fake,highlighted,receiving,speculative,cash,received,offered,letter,bringing,bring,undetected,overvalued,outlined,surrounding,individual,candidate,believe,expanded,forward,fiasco,flop,toxicity,business,rake,managers,soon,deliver
20,company,sales,asbestos,holdings,bankruptcy,debt,million,housing,concerning,stated,building,convertible,ownership,earnings,products,decided,investors,net,data,gypsum,purchased,missed,decrease,received,increased,ships,joint,price,distributor,materials,investment,short,litigation,entire,compelling,companies,ratio,created,inflated,venture,share,skyrocketing,analysts,due,portfolio,intertwined,underlayment,insurance,buy,hurt
