date,docID,refDocID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015-08-24,202439,-1,brazil,mon,site,time,country,economy,fiscal,follow,link,banned,rousseff,decision,dont,policy,economic,pmdb,party,grade,investment,government
2015-08-26,203844,-1,market,stock,fed,debt,policy,financial,relative,rate,fiscal,major,markets,time,metrics,investors,credit,economy,price,currently,equity,government
2015-08-27,158058,-1,quarter,pace,spending,gdp,upward,estimate,percentage,advanced,profits,advance,initial,revision,growth,annual,thats,quarters,economy,strongest,faster,inventory
2015-08-27,203683,-1,share,psec,million,fiscal,quarter,fourth,company,psecs,investment,reported,companys,net,nav,nii,projections,income,projection,portfolio,projected,appreciation
2015-08-27,203699,-1,global,fed,policy,markets,economic,fiscal,inflation,current,monetary,tightening,chinese,eurozone,budget,economy,groupthink,crisis,week,reserve,growth,parochial
2015-08-28,157872,-1,quarter,million,market,fiscal,business,prior,megapixel,china,markets,sales,compared,product,automotive,margin,call,thank,approximately,products,growth,continue
2015-08-28,202668,-1,saudi,oil,government,fri,spending,sat,peak,billion,debt,arabia,prices,war,reserves,market,military,site,fx,follow,link,time
2015-08-31,159252,-1,news,government,primary,deficit,budget,congress,percent,reuters,public,business,revenue,barbosa,raise,spending,brazil,credit,borrowing,rousseff,lawmakers,earlier
2015-08-31,202798,202439,budget,fiscal,gdp,site,government,primary,deficit,follow,mon,proposal,link,banned,brazil,growth,president,sources,surplus,print,tax,financial
2015-09-01,159290,-1,frsh,company,fiscal,franchise,frshs,million,premium,multiple,alpha,sss,growth,assetlight,seeking,stock,companys,pro,margin,franchisees,currently,increase
2015-09-01,159294,159290,fiscal,sbux,premium,million,stock,sp,alpha,seeking,past,multiple,business,company,reaching,pro,margin,strong,consensus,starbucks,basis,growth
2015-09-01,159303,159294,fiscal,vnce,stock,million,sp,alpha,vnces,seeking,past,multiple,business,trading,fcf,reaching,pro,margin,consensus,basis,discount,segment
2015-09-01,159577,159294,fiscal,sp,vsis,past,company,million,alpha,vsi,ratio,seeking,stock,multiple,revenue,vitamin,premium,reaching,pro,forward,consensus,contract
2015-09-01,159656,-1,spending,construction,percent,news,july,outlays,reuters,level,private,rose,business,quarter,nonresidential,sector,increased,economy,providing,largest,solid,minutes
2015-09-01,159906,-1,construction,spending,economy,growth,months,previous,overall,secondquarter,rate,economics,revised,third,quarter,bank,below,improving,news,suggesting,decades,worst
2015-09-01,159943,159656,spending,percent,construction,news,july,economy,level,sector,fell,data,business,reading,factory,reuters,month,manufacturing,index,dollar,government,private
2015-09-01,160077,157872,sales,fiscal,million,market,quarter,business,growth,firstfit,markets,europe,guidance,aftermarket,jim,decline,company,tod,look,share,expect,thats
2015-09-02,160369,157872,million,fiscal,quarter,company,lifevantage,distributors,revenue,compared,sales,growth,fourth,stock,call,product,direct,selling,business,plan,results,industry
2015-09-02,160382,-1,spending,healthcare,percent,age,mean,cost,alpha,personal,seeking,dividends,household,stocks,pro,health,dollar,consumption,investors,gdp,sector,product
2015-09-02,160610,160369,million,revenue,license,fiscal,quarter,customers,tier,data,term,thats,services,customer,business,nongaap,call,fourth,insurancesuite,total,expect,rd
2015-09-02,160695,159656,advertising,percent,news,spending,growth,media,digital,thai,economy,reuters,market,forecast,online,business,ad,video,world,consumers,thakol,overall
2015-09-02,161076,159294,fiscal,mmm,company,billion,past,balance,trading,sp,premium,alpha,margin,sheet,seeking,multiple,due,fcf,reaching,pro,strong,consensus
2015-09-02,161082,159303,flws,fiscal,discount,past,stock,trading,revenue,sp,alpha,margin,flwss,growth,seeking,multiple,company,fcf,million,relative,reaching,market
2015-09-02,161252,159252,news,rousseff,fiscal,brazils,reuters,levy,budget,finance,business,temporary,minutes,congress,delayed,weakened,primary,thomson,deficit,information,worlds,nasdaq
2015-09-03,161808,159656,spending,construction,level,july,pro,alpha,private,seeking,peak,rose,singlefamily,remained,below,nonresidential,residential,seen,thank,june,increased,reached
2015-09-03,161836,160369,business,growth,quarter,fiscal,ebitda,million,revenue,segment,fourth,adjusted,development,customers,product,performance,technologies,slide,constant,financial,okay,mix
2015-09-05,164203,-1,economy,consumer,china,spending,gdp,growth,consumption,chinese,services,entrepreneurs,able,percent,percentage,transition,chinas,consumers,alpha,government,time,means
2015-09-06,164486,164203,consumers,inflation,taxes,spending,wages,prices,tax,local,spend,gas,commodities,means,alpha,time,consumer,seeking,continue,impact,wage,governments
2015-09-07,164866,-1,infrastructure,spending,investment,pro,alpha,bridges,time,seeking,crumbling,economy,america,billion,thank,economies,dams,average,sitting,create,decades,shortly
2015-09-08,165507,203699,policy,fed,market,rates,growth,monetary,falling,markets,china,prices,question,expectations,commodity,yuan,real,capital,isnt,economy,mean,believes
2015-09-08,165509,161082,company,matrix,fiscal,project,service,growth,eps,epc,revenue,million,construction,doubledigit,acquisition,quarter,alpha,share,billion,seeking,track,expectations
2015-09-08,166219,161836,million,fiscal,quarter,revenues,ebitda,business,fourth,north,adjusted,oil,leasing,pricing,call,rate,time,approximately,gas,compared,customers,yes
2015-09-09,166621,159943,oil,news,percent,government,income,reuters,budget,finance,mexico,drop,spending,videgaray,output,cut,business,company,bank,economy,gdp,million
2015-09-09,166626,165507,news,debt,monetary,policy,kocherlakota,economy,fed,reuters,rates,risk,public,business,fiscal,minutes,federal,market,delayed,lower,instability,official
2015-09-09,167152,161252,news,reuters,spending,business,measure,minutes,bill,consideration,congress,delayed,house,government,boehner,decisions,thomson,information,finance,worlds,nasdaq,temporary
2015-09-09,167265,161836,fiscal,revenue,million,ebitda,growth,pass,mountain,season,adjusted,segment,currency,call,prior,basis,resorts,guidance,increased,results,estate,range
2015-09-09,167365,166621,rousseff,news,government,brazils,programs,business,economy,minister,taxes,levy,spending,percent,austerity,tax,social,cut,budget,finance,credit,billion
2015-09-10,167819,160369,million,quarter,fourth,fiscal,net,facility,coffee,call,income,customers,nongaap,financial,plan,relocation,corporate,torrance,phase,cost,compared,sales
2015-09-10,167896,202439,wed,brazil,sp,gdp,follow,fiscal,site,link,banned,dont,growth,real,economy,vs,brazilian,heres,cock,political,shit,policy
2015-09-10,167934,165509,giii,apparel,fiscal,revenue,quarter,company,million,guidance,eps,income,margin,glance,third,growth,business,net,passing,half,fullyear,companys
2015-09-10,167968,160610,fiscal,million,market,customers,lot,growth,quarter,security,traps,sales,revenue,platform,share,basis,customer,thats,call,business,technology,services
2015-09-10,167972,165509,million,quarter,fiscal,third,compared,project,approximately,development,cash,commercial,expected,revenue,limoneira,property,lewis,acres,period,agribusiness,share,earnings
2015-09-10,168887,167365,news,government,rousseff,austerity,president,congress,measures,thursday,brazil,cut,business,investors,economic,ability,governments,reuters,levy,spending,little,revenues
2015-09-11,168964,160369,million,quarter,revenue,cloud,fiscal,compared,fourth,egain,gross,business,total,call,financial,digital,customers,loss,results,subscription,basis,conference
2015-09-11,169169,164866,infrastructure,sp,global,index,dow,trademark,llc,pro,alpha,jones,seeking,dji,threeyear,fund,investment,companies,thank,hedged,energy,information
2015-09-11,169499,-1,spending,funding,congress,government,fiscal,lawmakers,extension,sequester,december,republicans,shortterm,tax,measures,highway,real,economics,republican,shutdown,planned,bank
2015-09-11,169707,168964,fiscal,quarter,third,million,nine,net,months,compared,call,sales,occ,period,gross,markets,profit,decreased,conference,results,sga,share
2015-09-11,169739,169707,million,quarter,fiscal,sales,fourth,increase,gross,profit,segment,human,products,health,basis,income,share,business,product,net,compared,okay
2015-09-12,170448,167896,site,link,follow,banned,increased,isis,zero,cftc,heres,semi,policies,policy,speculators,actions,hedge,offer,cookie,net,nokia,affirms
2015-09-12,170509,167365,gdp,tax,taxes,budget,federal,spending,pro,alpha,government,individual,seeking,deficit,income,relative,line,growth,billion,thank,past,increased
2015-09-14,171362,166621,news,surplus,government,billion,budget,canada,fiscal,reuters,earlier,percent,run,deficits,deficit,finance,business,economy,plan,april,measure,canadas
2015-09-14,171862,167152,news,billion,budget,reuters,measures,government,reais,business,subsidies,minutes,delayed,spending,cuts,thomson,information,cut,finance,revenue,credit,worlds
2015-09-14,171870,171862,news,budget,reuters,billion,business,revenue,sources,minutes,delayed,spending,cuts,reais,thomson,information,finance,worlds,nasdaq,alerts,television,bridging
2015-09-15,172129,167819,fiscal,million,customers,weve,cash,time,programs,commercial,quarter,customer,call,supply,agreement,financial,fourth,thank,existing,sales,thats,okay
2015-09-15,172163,-1,pqe,rate,government,target,reserve,ior,balances,boe,central,bank,spending,qe,banks,table,omfg,operations,debt,pvd,policy,inflationary
2015-09-15,172286,171362,percent,fiscal,growth,news,spending,economy,chinas,reuters,yuan,china,rose,economic,investment,august,local,trillion,yy,earlier,biggest,economists
