docID,Date,Uncertainty_unspecified_noun,Uncertainty_unspecified_noun_neg,Uncertainty_unspecified_verb,Uncertainty_unspecified_verb_neg,Uncertainty_unspecified_othertype,Uncertainty_unspecified_othertype_neg,Uncertainty_fear_noun,Uncertainty_fear_noun_neg,Uncertainty_fear_verb,Uncertainty_fear_verb_neg,Uncertainty_fear_othertype,Uncertainty_fear_othertype_neg,Uncertainty_hope_noun,Uncertainty_hope_noun_neg,Uncertainty_hope_verb,Uncertainty_hope_verb_neg,Uncertainty_hope_othertype,Uncertainty_hope_othertype_neg,Uncertainty_anxiety_noun,Uncertainty_anxiety_noun_neg,Uncertainty_anxiety_verb,Uncertainty_anxiety_verb_neg,Uncertainty_anxiety_othertype,Uncertainty_anxiety_othertype_neg,Uncertainty_conditionality1,Uncertainty_conditionality1_pos,Uncertainty_conditionality1_neg,Uncertainty_conditionality2,Uncertainty_conditionality2_pos,Uncertainty_conditionality2_neg,Surprise_unspecified_noun,Surprise_unspecified_noun_neg,Surprise_unspecified_verb,Surprise_unspecified_verb_neg,Surprise_unspecified_othertype,Surprise_unspecified_othertype_neg,Surprise_disappointment_noun,Surprise_disappointment_noun_neg,Surprise_disappointment_verb,Surprise_disappointment_verb_neg,Surprise_disappointment_othertype,Surprise_disappointment_othertype_neg,Surprise_relief_noun,Surprise_relief_noun_neg,Surprise_relief_verb,Surprise_relief_verb_neg,Surprise_relief_othertype,Surprise_relief_othertype_neg,Surprise_comparative,Valence_Pos,Valence_Neg
10040,2015-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
100886,2015-06-29,4,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,20
101147,2015-06-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
101543,2015-06-30,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,11
101681,2015-06-30,3,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10
102199,2015-06-30,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,22
10308,2015-03-23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
103417,2015-07-01,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
103588,2015-07-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
103694,2015-07-01,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2
