docID,Date,Value_Positive,Uncertainty,Surprise,Valence_Pos,Valence_Neg
100511,2015-06-29,1,0,1,0.00968783638320775,0.010764262648008612
101520,2015-06-30,0,0,0,0.008032128514056224,0.013386880856760375
102153,2015-06-30,0,0,0,0.0,0.013636363636363636
115148,2015-07-13,0,0,0,0.00517464424320828,0.02457956015523933
118352,2015-07-16,3,2,0,0.00597609561752988,0.0199203187250996
119350,2015-07-16,2,1,0,0.002881844380403458,0.023054755043227664
124502,2015-07-22,0,0,0,0.007159904534606206,0.016706443914081145
124784,2015-07-22,0,0,0,0.008213552361396304,0.01642710472279261
126868,2015-07-24,8,3,2,0.0068143100511073255,0.015332197614991482
126961,2015-07-23,4,4,2,0.006564551422319475,0.02188183807439825
127132,2015-07-24,5,3,3,0.004178272980501393,0.016713091922005572
127408,2015-07-24,4,2,1,0.01545253863134658,0.011037527593818985
127665,2015-07-24,3,3,1,0.015533980582524271,0.013592233009708738
128823,2015-07-26,1,3,3,0.011475409836065573,0.01639344262295082
130982,2015-07-28,0,0,0,0.01126126126126126,0.013513513513513514
131775,2015-07-29,3,0,0,0.009057971014492754,0.009057971014492754
146662,2015-08-12,1,1,1,0.0038240917782026767,0.011472275334608031
163849,2015-09-04,0,0,0,0.0,0.009940357852882704
163857,2015-09-04,0,0,0,0.003861003861003861,0.015444015444015444
165359,2015-09-07,0,0,0,0.0,0.016042780748663103
165826,2015-09-08,0,0,0,0.004106776180698152,0.012320328542094456
17346,2015-03-30,0,0,0,0.006382978723404255,0.006382978723404255
175126,2015-09-17,0,1,0,0.002,0.01
175670,2015-09-17,0,1,0,0.0,0.0111731843575419
178215,2015-09-21,0,0,1,0.004975124378109453,0.05472636815920398
193191,2015-10-06,0,1,0,0.007707129094412331,0.023121387283236993
194861,2015-10-07,0,0,0,0.006493506493506494,0.006493506493506494
195301,2015-10-08,0,0,0,0.0,0.013100436681222707
196135,2015-10-08,0,0,0,0.002380952380952381,0.007142857142857143
206361,2015-10-16,1,0,1,0.012759170653907496,0.009569377990430622
209118,2015-10-20,0,0,0,0.0,0.014563106796116505
212931,2015-10-22,5,2,0,0.00804289544235925,0.0160857908847185
213249,2015-10-23,2,2,0,0.003787878787878788,0.013257575757575758
222499,2015-11-03,0,0,0,0.0,0.013574660633484163
234015,2015-11-12,0,0,0,0.005357142857142857,0.01607142857142857
234321,2015-11-12,0,1,0,0.006180469715698393,0.011124845488257108
235028,2015-11-13,0,0,0,0.0017793594306049821,0.010676156583629894
252130,2015-12-01,0,3,0,0.0,0.015873015873015872
254502,2015-12-03,0,0,0,0.0,0.013452914798206279
270413,2015-12-21,0,0,0,0.0,0.018461538461538463
290873,2016-01-15,0,0,0,0.0020876826722338203,0.012526096033402923
29619,2015-04-16,0,0,0,0.008695652173913044,0.02318840579710145
29664,2015-04-16,0,0,0,0.009287925696594427,0.02476780185758514
297906,2016-01-22,0,0,0,0.009925558312655087,0.01240694789081886
300123,2016-01-25,0,0,0,0.010238907849829351,0.040955631399317405
301349,2016-01-26,0,1,1,0.009280742459396751,0.009280742459396751
303777,2016-01-28,0,0,1,0.001949317738791423,0.009746588693957114
304440,2016-01-28,4,0,0,0.0025252525252525255,0.017676767676767676
304735,2016-01-29,2,3,0,0.01020408163265306,0.015306122448979591
305220,2016-01-29,0,1,2,0.0045045045045045045,0.036036036036036036
309151,2016-02-03,0,1,0,0.00963855421686747,0.012048192771084338
310505,2016-02-04,0,0,0,0.0022988505747126436,0.011494252873563218
311427,2016-02-04,0,0,0,0.0,0.020942408376963352
314529,2016-02-09,0,0,0,0.0017985611510791368,0.009892086330935251
321912,2016-02-18,1,0,0,0.007075471698113208,0.00589622641509434
323770,2016-02-19,0,0,0,0.003976143141153081,0.009940357852882704
333337,2016-02-29,0,0,0,0.008869179600886918,0.013303769401330377
333361,2016-02-29,0,0,0,0.0,0.02358490566037736
333622,2016-02-29,1,0,0,0.0022727272727272726,0.011363636363636364
333910,2016-02-29,1,1,0,0.003257328990228013,0.009771986970684038
337529,2016-03-03,0,0,0,0.00425531914893617,0.006382978723404255
338418,2016-03-04,0,0,0,0.007281553398058253,0.02669902912621359
340006,2016-03-05,0,0,0,0.0,0.019417475728155338
345278,2016-03-22,0,0,0,0.0035587188612099642,0.028469750889679714
345544,2016-03-22,0,1,0,0.003952569169960474,0.021739130434782608
345898,2016-03-22,0,0,0,0.0,0.022321428571428572
347036,2016-03-23,0,0,0,0.0023584905660377358,0.02122641509433962
347199,2016-03-23,0,0,0,0.002403846153846154,0.019230769230769232
349712,2016-03-26,0,0,0,0.0,0.012903225806451613
353098,2016-03-30,0,0,0,0.009900990099009901,0.0165016501650165
355240,2016-03-31,0,0,1,0.0015723270440251573,0.006289308176100629
360480,2016-04-06,0,0,0,0.014925373134328358,0.02736318407960199
370314,2016-03-09,0,0,0,0.004672897196261682,0.011682242990654205
370398,2016-03-09,0,0,0,0.008213552361396304,0.01026694045174538
37453,2015-04-23,7,0,1,0.0,0.01904761904761905
37704,2015-04-24,7,2,2,0.009671179883945842,0.017408123791102514
379551,2016-03-17,0,0,0,0.0,0.02040816326530612
382932,2016-04-18,0,0,0,0.0,0.013513513513513514
391489,2016-04-27,0,0,0,0.0035335689045936395,0.014134275618374558
392017,2016-04-27,0,0,0,0.0,0.03642384105960265
392308,2016-04-27,0,0,0,0.0,0.035781544256120526
393448,2016-04-28,4,2,2,0.0044742729306487695,0.020134228187919462
393533,2016-04-28,0,0,0,8.802816901408451E-4,0.03345070422535211
393834,2016-04-29,4,3,3,0.006984866123399301,0.012805587892898719
394248,2016-04-29,3,1,2,0.01195219123505976,0.013280212483399735
396651,2016-05-02,0,0,0,0.00423728813559322,0.019067796610169493
398715,2016-05-04,0,1,0,0.007556675062972292,0.007556675062972292
404032,2016-05-10,0,0,0,0.015957446808510637,0.007978723404255319
404052,2016-05-10,0,0,0,0.001893939393939394,0.007575757575757576
416166,2016-05-26,0,0,0,0.0,0.0221606648199446
67594,2015-05-26,0,0,0,0.006349206349206349,0.031746031746031744
67776,2015-05-26,0,0,2,0.006243496357960458,0.01768990634755463
69806,2015-05-28,0,0,0,0.0,0.009174311926605505
70197,2015-05-28,0,0,0,0.0,0.008908685968819599
83568,2015-06-11,0,0,0,0.012320328542094456,0.04722792607802875
88408,2015-06-16,0,0,0,0.0,0.014925373134328358
90004,2015-06-17,0,2,0,0.007729468599033816,0.01642512077294686
93930,2015-06-22,0,0,0,0.005797101449275362,0.008695652173913044
94448,2015-06-23,0,0,0,0.0,0.009174311926605505
99480,2015-06-27,0,0,0,0.0,0.016216216216216217
