docID,Date,Value_Positive,Uncertainty,Surprise,Valence_Pos,Valence_Neg
100266,2015-06-29,2,1,3,0.01055662188099808,0.008637236084452975
100622,2015-06-29,0,0,1,0.014819587628865979,0.008376288659793814
101947,2015-06-30,1,1,2,0.012785388127853882,0.012785388127853882
103347,2015-06-30,4,3,3,0.006666666666666667,0.008148148148148147
10346,2015-03-23,0,0,0,0.011928429423459244,0.009940357852882704
10379,2015-03-23,0,1,2,0.01300578034682081,0.013728323699421965
104195,2015-07-01,3,5,5,0.015588096362777516,0.0051960321209258385
104201,2015-07-01,1,2,1,0.014101531023368252,0.010878323932312651
105183,2015-07-02,0,0,0,0.009478672985781991,0.008293838862559242
10644,2015-03-23,0,0,1,0.00878594249201278,0.006389776357827476
108167,2015-07-06,1,1,2,0.013513513513513514,0.02390852390852391
108431,2015-07-07,0,0,1,0.008560311284046693,0.005447470817120622
110596,2015-07-08,3,2,4,0.017902813299232736,0.0159846547314578
110890,2015-07-08,0,0,2,0.012897678417884782,0.03009458297506449
111619,2015-07-09,0,1,1,0.016823687752355317,0.024226110363391656
111904,2015-07-09,1,0,2,0.013657056145675266,0.0015174506828528073
111929,2015-07-09,0,3,1,0.010030864197530864,0.009259259259259259
112229,2015-07-09,1,0,1,0.009695290858725761,0.023545706371191136
113245,2015-07-10,0,1,1,0.012422360248447204,0.013975155279503106
113456,2015-07-10,1,6,2,0.018295218295218296,0.012474012474012475
113742,2015-07-11,3,3,5,0.0023584905660377358,0.024764150943396228
114211,2015-07-11,0,0,0,0.0,0.01507537688442211
114686,2015-07-13,4,1,1,0.016645326504481434,0.015364916773367477
114687,2015-07-13,1,1,0,0.003952569169960474,0.018972332015810278
115310,2015-07-13,0,4,2,0.02092580849714648,0.013950538998097653
115553,2015-07-13,0,1,1,0.007364975450081833,0.013911620294599018
11710,2015-03-24,0,0,1,0.008900190718372537,0.0050858232676414495
117698,2015-07-15,0,0,2,0.0024019215372297837,0.010408326661329063
118006,2015-07-15,2,0,4,0.006183249016301293,0.00505902192242833
118013,2015-07-15,10,3,11,0.007477906186267845,0.010197144799456152
119169,2015-07-16,1,0,5,0.009761388286334056,0.010845986984815618
120557,2015-07-17,2,1,3,0.010794896957801767,0.014720314033366046
121227,2015-07-18,0,0,0,0.0,0.005235602094240838
122161,2015-07-20,2,1,2,0.006887052341597796,0.01147842056932966
12237,2015-03-25,0,0,0,0.010256410256410256,0.010256410256410256
122374,2015-07-20,3,0,1,0.007215007215007215,0.006493506493506494
123934,2015-07-22,13,6,6,0.01925376704137766,0.006338196603683329
123995,2015-07-22,3,3,2,0.01454775458570525,0.015180265654648957
125020,2015-07-22,3,1,0,0.00596252129471891,0.011073253833049404
125021,2015-07-22,1,0,0,0.01285140562248996,0.015261044176706828
126118,2015-07-23,1,1,0,9.174311926605505E-4,0.007339449541284404
126127,2015-07-23,2,4,2,0.01376597836774828,0.010816125860373648
126780,2015-07-23,4,2,3,0.006211180124223602,0.017598343685300208
127831,2015-07-24,3,1,2,0.009578544061302681,0.013409961685823755
128092,2015-07-25,1,2,0,0.00463678516228748,0.013910355486862442
128119,2015-07-24,0,2,1,0.012313104661389622,0.014072119613016711
129356,2015-07-27,0,4,0,0.02223719676549865,0.005390835579514825
129669,2015-07-27,2,2,1,0.006076975016880486,0.03308575286968265
129882,2015-07-27,6,5,1,0.01005656819610308,0.0031426775612822125
130848,2015-07-28,0,0,0,0.0,0.019230769230769232
131094,2015-07-28,1,0,1,0.004656577415599534,0.011641443538998836
131708,2015-07-28,1,0,1,0.004624277456647399,0.011560693641618497
132573,2015-07-29,1,0,0,0.011450381679389313,0.01431297709923664
133118,2015-07-30,0,4,0,0.008468052347959968,0.012317167051578136
133926,2015-07-30,4,0,3,0.018853102906520033,0.01335428122545169
135106,2015-07-31,1,0,1,0.01703940362087327,0.01703940362087327
13534,2015-03-26,0,2,0,0.008741258741258742,0.007867132867132868
135345,2015-07-31,0,1,3,0.020948180815876516,0.01065784638000735
137555,2015-08-03,0,1,0,0.007766990291262136,0.006796116504854369
137791,2015-08-04,0,1,4,0.01879194630872483,0.010067114093959731
138020,2015-08-03,0,0,0,0.008385744234800839,0.013626834381551363
138563,2015-08-04,0,2,2,0.014061207609594707,0.009925558312655087
138831,2015-08-04,0,4,3,0.010638297872340425,0.015070921985815602
138845,2015-08-04,0,1,2,0.0070921985815602835,0.005673758865248227
138854,2015-08-04,0,0,0,0.0030349013657056147,0.009104704097116844
139619,2015-08-05,0,2,1,0.0065919578114700065,0.028345418589321027
139890,2015-08-05,0,1,0,0.0045045045045045045,0.0075075075075075074
139919,2015-08-05,1,1,1,0.008064516129032258,0.010080645161290322
141813,2015-08-06,1,2,0,0.014647137150466045,0.014647137150466045
141814,2015-08-06,2,5,2,0.007053941908713693,0.011203319502074689
14201,2015-03-26,0,0,0,0.012552301255230125,0.002789400278940028
144798,2015-08-10,2,1,5,0.010025062656641603,0.020885547201336674
144800,2015-08-10,1,0,1,0.017972681524083392,0.010783608914450037
146327,2015-08-11,2,5,4,0.011957484499557131,0.01771479185119575
147039,2015-08-12,0,1,1,0.007659574468085106,0.009361702127659575
147569,2015-08-12,0,1,0,0.012830793905372895,0.01884522854851644
148339,2015-08-13,0,0,0,0.008595988538681949,0.02005730659025788
149357,2015-08-14,2,3,2,0.004446769552707298,0.017787078210829192
149629,2015-08-14,0,0,3,0.008920606601248885,0.009812667261373774
149866,2015-08-14,2,3,6,0.01347557551937114,0.019932622122403144
150163,2015-08-14,0,0,0,0.00808457711442786,0.014303482587064677
150947,2015-08-17,3,1,3,0.012935323383084577,0.015920398009950248
151539,2015-08-17,1,0,0,0.01768990634755463,0.021852237252861603
151992,2015-08-17,0,1,1,0.015340364333652923,0.013422818791946308
152859,2015-08-18,0,0,0,0.004123711340206186,0.008247422680412371
153498,2015-08-19,2,0,0,0.006888633754305396,0.014925373134328358
153790,2015-08-19,0,2,0,0.007627118644067797,0.03389830508474576
154241,2015-08-20,0,0,1,0.009615384615384616,0.013888888888888888
154942,2015-08-20,1,0,0,0.00812407680945347,0.011078286558345642
154943,2015-08-20,0,0,1,0.010628019323671498,0.015458937198067632
155661,2015-08-21,0,0,1,0.007122507122507123,0.018518518518518517
155674,2015-08-21,0,0,0,0.009389671361502348,0.004694835680751174
156182,2015-08-21,3,0,0,0.0031746031746031746,0.021164021164021163
156638,2015-08-21,0,0,0,0.008310249307479225,0.004986149584487534
156919,2015-08-22,0,1,0,0.008050089445438283,0.005366726296958855
157910,2015-08-28,0,0,0,0.007746478873239437,0.004929577464788733
158649,2015-08-31,0,0,0,0.013345195729537367,0.005338078291814947
158660,2015-08-31,1,3,4,0.012317167051578136,0.01077752117013087
158898,2015-08-31,0,0,0,0.0,0.02074688796680498
159109,2015-08-31,0,2,2,0.012302284710017574,0.008787346221441126
159838,2015-09-01,0,0,0,0.015488867376573089,0.008712487899322363
159884,2015-09-01,0,0,0,0.004457652303120356,0.008915304606240713
161321,2015-09-02,1,0,0,0.01857282502443793,0.004887585532746823
161331,2015-09-02,1,0,2,0.007712082262210797,0.010282776349614395
161345,2015-09-02,0,0,0,0.004594180704441042,0.015313935681470138
16242,2015-03-28,1,0,0,0.006693440428380187,0.020749665327978582
162773,2015-09-04,0,0,0,0.00641025641025641,0.023504273504273504
