docID,Date,Value_Positive,Uncertainty,Surprise,Valence_Pos,Valence_Neg
102095,2015-06-30,0,0,0,0.0027100271002710027,0.02168021680216802
102899,2015-07-01,0,0,0,0.005517241379310344,0.02620689655172414
104243,2015-07-02,0,0,0,0.0,0.009708737864077669
108501,2015-07-07,0,0,0,0.0018552875695732839,0.03153988868274583
108525,2015-07-07,0,0,0,0.0,0.04390243902439024
111711,2015-07-09,0,0,0,0.0,0.012195121951219513
113336,2015-07-10,0,0,0,0.0075,0.015833333333333335
116063,2015-07-14,0,0,0,0.0,0.022988505747126436
116592,2015-07-14,0,0,0,0.004016064257028112,0.012048192771084338
116659,2015-07-14,0,0,0,0.005263157894736842,0.015789473684210527
117907,2015-07-15,0,0,0,0.005917159763313609,0.01775147928994083
11802,2015-03-24,0,0,0,0.0030120481927710845,0.015060240963855422
120031,2015-07-17,0,0,1,0.010869565217391304,0.008695652173913044
120054,2015-07-17,0,0,0,0.0,0.02702702702702703
120347,2015-07-17,0,1,0,0.007385524372230428,0.019202363367799114
120640,2015-07-17,0,1,0,0.008571428571428572,0.02
121612,2015-07-20,0,0,0,0.004166666666666667,0.05416666666666667
122847,2015-07-21,0,0,0,0.009478672985781991,0.018957345971563982
124230,2015-07-22,0,0,0,0.008368200836820083,0.012552301255230125
124488,2015-07-22,3,2,1,0.002178649237472767,0.015250544662309368
125289,2015-07-22,0,0,0,0.006593406593406593,0.02857142857142857
12580,2015-03-25,0,0,0,0.002070393374741201,0.026915113871635612
127149,2015-07-24,0,1,0,0.0024509803921568627,0.012254901960784314
127663,2015-07-24,2,1,0,0.009737098344693282,0.02044790652385589
127928,2015-07-24,0,0,0,0.005813953488372093,0.01744186046511628
128193,2015-07-25,0,0,0,0.00906344410876133,0.02416918429003021
12876,2015-03-25,0,0,0,0.013953488372093023,0.013953488372093023
132429,2015-07-29,0,0,0,0.0,0.0273972602739726
132720,2015-07-29,0,0,0,0.0015923566878980893,0.020700636942675158
132732,2015-07-29,0,1,0,0.0,0.03325942350332594
132739,2015-07-29,0,0,0,0.0,0.03409090909090909
132981,2015-07-30,0,0,0,0.0015748031496062992,0.023622047244094488
132995,2015-07-30,0,0,0,0.0034904013961605585,0.010471204188481676
133205,2015-07-30,0,0,0,0.0,0.013100436681222707
133208,2015-07-30,0,0,0,0.0,0.012698412698412698
133228,2015-07-30,0,0,0,0.004784688995215311,0.019138755980861243
133324,2015-07-30,0,0,0,0.0021551724137931034,0.014008620689655173
133478,2015-07-30,0,0,0,0.0,0.015717092337917484
