docID,Date,Value_Positive,Uncertainty,Surprise,Valence_Pos,Valence_Neg
100939,2015-06-29,0,0,1,0.009918845807033363,0.013525698827772768
101662,2015-06-30,1,1,0,0.006006006006006006,0.004004004004004004
104215,2015-07-02,0,0,1,0.005376344086021506,0.010752688172043012
108848,2015-07-07,0,0,0,0.0,0.030303030303030304
10974,2015-03-24,0,0,0,0.00641025641025641,0.038461538461538464
112950,2015-07-10,0,0,0,0.006134969325153374,0.016359918200409
115062,2015-07-13,0,3,1,0.010550113036925395,0.014318010550113038
115299,2015-07-13,0,0,0,0.014722536806342015,0.013590033975084938
117083,2015-07-15,0,1,2,0.013761467889908258,0.0045871559633027525
11989,2015-03-24,0,2,0,0.0102880658436214,0.00411522633744856
121334,2015-07-19,2,4,1,0.008896797153024912,0.008896797153024912
121677,2015-07-20,1,0,1,0.010248901903367497,0.017569546120058566
121684,2015-07-20,0,0,0,0.006024096385542169,0.0024096385542168677
122163,2015-07-20,0,3,3,0.01153612629022465,0.012143290831815421
122758,2015-07-21,2,0,3,0.013500482160077145,0.003857280617164899
123413,2015-07-21,1,4,3,0.024446142093200916,0.0030557677616501145
125365,2015-07-23,1,0,0,0.01730103806228374,0.031141868512110725
125820,2015-07-23,3,0,0,0.004962779156327543,0.0012406947890818859
125822,2015-07-23,3,2,2,0.0208078335373317,0.006119951040391677
127024,2015-07-24,5,5,2,0.018329938900203666,0.002036659877800407
127315,2015-07-24,1,2,2,0.010810810810810811,0.015135135135135135
128106,2015-07-25,1,0,2,0.010796221322537112,0.002699055330634278
128663,2015-07-26,1,0,1,0.0199501246882793,0.0012468827930174563
131701,2015-07-29,0,0,0,0.0,0.0
131993,2015-07-29,1,1,0,0.012750455373406194,0.006375227686703097
13565,2015-03-26,3,6,3,0.0064,0.008
136669,2015-08-03,0,0,0,0.0,0.006535947712418301
139150,2015-08-05,0,0,0,0.0,0.02768166089965398
139615,2015-08-05,0,1,1,0.008445945945945946,0.0059121621621621625
142063,2015-08-07,0,0,1,0.010260457774269928,0.011838989739542225
154715,2015-08-20,4,2,1,0.010013531799729363,0.013802435723951286
157743,2015-08-31,3,6,4,0.028595458368376788,0.012615643397813289
15843,2015-03-27,1,2,1,0.012507817385866166,0.0150093808630394
161337,2015-09-02,0,0,0,0.011494252873563218,0.0
164108,2015-09-05,0,0,1,0.009378663540445486,0.005861664712778429
16560,2015-03-29,0,17,5,0.014059753954305799,0.0026362038664323375
166496,2015-09-09,5,4,0,0.015395894428152493,0.013196480938416423
166724,2015-09-09,1,1,1,0.016266460108443067,0.020914020139426802
166744,2015-09-09,0,0,0,0.008849557522123894,0.01327433628318584
16815,2015-03-30,1,11,0,0.0165016501650165,0.0033003300330033004
168947,2015-09-11,0,1,0,0.006476683937823834,0.012953367875647668
168991,2015-09-11,0,0,0,0.015151515151515152,0.005050505050505051
17811,2015-03-31,0,0,0,0.005550416281221091,0.02682701202590194
181565,2015-09-24,2,1,0,0.007509386733416771,0.011264080100125156
181818,2015-09-24,0,0,0,0.0065040650406504065,0.0032520325203252032
182136,2015-09-24,0,1,0,0.005128205128205128,0.008547008547008548
184093,2015-09-27,0,1,0,0.01132404181184669,0.0078397212543554
184101,2015-09-27,0,1,0,0.00535475234270415,0.00535475234270415
185066,2015-09-28,0,0,0,0.015228426395939087,0.0
186259,2015-09-29,0,0,0,0.0,0.03205128205128205
187192,2015-09-30,0,0,0,0.013262599469496022,0.011494252873563218
188294,2015-10-01,0,0,1,0.015735641227380016,0.016522423288749016
188820,2015-10-01,0,0,0,0.008264462809917356,0.010625737898465172
191753,2015-10-05,3,3,2,0.012605042016806723,0.012605042016806723
196712,2015-10-09,0,1,1,0.009287925696594427,0.0030959752321981426
198175,2015-10-11,0,0,0,0.0031446540880503146,0.03930817610062893
199234,2015-10-13,0,0,0,0.005208333333333333,0.0
199632,2015-10-13,3,1,2,0.012759170653907496,0.0215311004784689
199929,2015-10-13,0,0,0,0.022857142857142857,0.0
203290,2015-08-28,1,0,0,0.01485148514851485,0.0012376237623762376
