docID,Date,Value_Positive,Uncertainty,Surprise,Valence_Pos,Valence_Neg
101340,2015-06-29,0,0,0,0.0,0.05104408352668213
104045,2015-07-01,0,0,0,0.0,0.012396694214876033
105519,2015-07-02,0,0,0,0.005305039787798408,0.01856763925729443
105987,2015-07-03,0,0,0,0.0026666666666666666,0.029333333333333333
108333,2015-07-06,0,0,0,0.005571030640668524,0.03899721448467967
110105,2015-07-08,0,0,0,0.006006006006006006,0.018018018018018018
110465,2015-07-08,0,0,0,0.00558659217877095,0.07262569832402235
112283,2015-07-09,0,0,0,0.009389671361502348,0.011737089201877934
112519,2015-07-09,0,0,0,0.007518796992481203,0.013157894736842105
112568,2015-07-10,0,0,0,0.001996007984031936,0.017964071856287425
113971,2015-07-11,0,0,0,0.006237006237006237,0.008316008316008316
115396,2015-07-13,0,0,0,0.0,0.02112676056338028
116066,2015-07-14,0,0,1,0.002638522427440633,0.026385224274406333
122821,2015-07-21,0,0,0,0.004576659038901602,0.006864988558352402
12405,2015-03-25,0,0,0,0.0,0.04096385542168675
126233,2015-07-23,0,0,0,0.004201680672268907,0.008403361344537815
1274,2015-03-06,0,0,0,0.00315955766192733,0.026856240126382307
129997,2015-07-27,0,0,0,0.0019083969465648854,0.05725190839694656
130631,2015-07-28,1,0,1,0.019390581717451522,0.008310249307479225
130921,2015-07-28,1,1,1,0.014736842105263158,0.01263157894736842
13359,2015-03-26,0,0,0,0.0,0.012096774193548387
13649,2015-03-26,0,0,0,0.006482982171799027,0.012965964343598054
137070,2015-08-03,2,0,1,0.01805869074492099,0.006772009029345372
137358,2015-08-03,1,0,0,0.019762845849802372,0.007905138339920948
137633,2015-08-03,1,0,0,0.017391304347826087,0.008695652173913044
138952,2015-08-04,0,0,0,0.010638297872340425,0.02925531914893617
142163,2015-08-07,0,0,0,0.0,0.04184100418410042
145621,2015-08-11,0,0,0,0.012121212121212121,0.021212121212121213
145842,2015-08-11,0,0,0,0.005649717514124294,0.011299435028248588
145852,2015-08-11,0,0,0,0.0025906735751295338,0.010362694300518135
145856,2015-08-11,0,0,0,0.0,0.01675977653631285
146877,2015-08-12,0,0,0,0.0,0.006160164271047228
147137,2015-08-12,0,0,0,0.005366726296958855,0.012522361359570662
147374,2015-08-12,0,0,0,0.0029411764705882353,0.023529411764705882
149448,2015-08-14,0,0,0,0.008733624454148471,0.013100436681222707
149739,2015-08-14,0,0,0,0.00202020202020202,0.006060606060606061
