docID,Date,Value_Positive,Uncertainty,Surprise,Valence_Pos,Valence_Neg
100663,2015-06-29,0,1,3,0.00945945945945946,0.013513513513513514
100936,2015-06-29,1,0,0,0.009789156626506024,0.005271084337349397
101695,2015-06-30,0,2,0,0.015945330296127564,0.0193621867881549
103306,2015-07-01,0,1,1,0.009771986970684038,0.003257328990228013
104881,2015-07-02,1,1,1,0.01683748169838946,0.014641288433382138
105384,2015-07-02,0,0,1,0.005943536404160475,0.03566121842496285
105397,2015-07-02,0,0,0,0.011834319526627219,0.01282051282051282
108964,2015-07-07,0,0,1,0.009893992932862191,0.009893992932862191
11173,2015-03-24,0,1,0,0.008687258687258687,0.008687258687258687
115291,2015-07-13,1,2,1,0.010368663594470046,0.014976958525345621
116227,2015-07-14,0,0,0,0.010416666666666666,0.0
116491,2015-07-14,0,0,1,0.015364916773367477,0.005121638924455826
116783,2015-07-14,3,1,0,0.01838235294117647,0.004595588235294118
11965,2015-03-24,0,0,0,0.026363636363636363,0.013636363636363636
119967,2015-07-17,0,0,0,0.019771071800208116,0.013527575442247659
120938,2015-07-18,1,2,0,0.02540106951871658,0.012032085561497326
122159,2015-07-20,0,0,0,0.013871374527112233,0.006305170239596469
12231,2015-03-25,5,1,7,0.012620192307692308,0.010216346153846154
123410,2015-07-21,4,5,6,0.023733162283515075,0.012828736369467608
124979,2015-07-22,0,0,0,0.00853658536585366,0.00975609756097561
125795,2015-07-23,1,0,0,0.008771929824561403,0.01608187134502924
125815,2015-07-23,1,2,0,0.022304832713754646,0.00929368029739777
125817,2015-07-23,0,0,0,0.009295120061967466,0.008520526723470178
128116,2015-07-24,1,0,1,0.01332707648991084,0.008446738620366025
132298,2015-07-29,2,3,2,0.01639344262295082,0.011349306431273645
132637,2015-07-29,2,2,0,0.010604241696678672,0.006002400960384154
134218,2015-07-31,0,0,0,0.011822258459029759,0.013860578883000407
134779,2015-07-31,3,4,3,0.02190201729106628,0.009798270893371758
136517,2015-08-02,2,2,1,0.018437225636523266,0.009657594381035996
139627,2015-08-05,0,0,5,0.00648508430609598,0.011673151750972763
140145,2015-08-05,0,2,2,0.013458950201884253,0.004037685060565276
142827,2015-08-07,0,0,0,0.01171875,0.01171875
144322,2015-08-10,0,1,0,0.008928571428571428,0.013392857142857142
144512,2015-08-10,2,0,1,0.01555352241537054,0.013723696248856358
146094,2015-08-11,1,2,0,0.018153117600631413,0.007892659826361484
147570,2015-08-12,0,1,0,0.0059031877213695395,0.0059031877213695395
148528,2015-08-13,0,2,0,0.009625668449197862,0.01818181818181818
150410,2015-08-15,1,1,0,0.013006885998469778,0.0045906656465187455
151517,2015-08-17,2,1,0,0.009812667261373774,0.025869759143621766
154667,2015-08-20,0,0,0,0.0049079754601227,0.0036809815950920245
156742,2015-08-22,1,0,0,0.013138686131386862,0.010218978102189781
159849,2015-09-01,0,0,0,0.014705882352941176,0.0058823529411764705
160601,2015-09-02,0,0,0,0.024070021881838075,0.014223194748358862
163512,2015-09-04,1,3,4,0.01407035175879397,0.01407035175879397
165038,2015-09-07,1,0,1,0.020050125313283207,0.005847953216374269
166706,2015-09-09,0,0,0,0.007588532883642495,0.025295109612141653
167033,2015-09-09,6,9,11,0.015356820234869015,0.00993676603432701
16844,2015-03-30,0,1,1,0.010933557611438183,0.01345668629100084
17088,2015-03-30,0,2,2,0.009237875288683603,0.015011547344110854
171463,2015-09-14,1,0,1,0.009456264775413711,0.018912529550827423
171697,2015-09-14,1,2,0,0.022970903522205207,0.009954058192955589
172921,2015-09-15,0,0,0,0.00778642936596218,0.01668520578420467
173894,2015-09-16,1,2,0,0.010236220472440945,0.01889763779527559
173921,2015-09-16,0,1,0,0.014285714285714285,0.0015873015873015873
174136,2015-09-16,3,6,3,0.01812800591934887,0.01812800591934887
174196,2015-09-16,0,4,5,0.018824771287825476,0.003694581280788177
175236,2015-09-17,1,0,1,0.016560509554140127,0.012738853503184714
177447,2015-09-20,3,2,4,0.018418201516793065,0.009750812567713976
180909,2015-09-23,1,4,3,0.012560386473429951,0.011594202898550725
181165,2015-09-23,0,1,0,0.0213089802130898,0.0106544901065449
18496,2015-03-31,0,0,1,0.0079155672823219,0.010554089709762533
188572,2015-10-01,0,0,0,0.012658227848101266,0.0
189084,2015-10-01,0,0,0,0.015625,0.005208333333333333
190636,2015-10-03,0,0,1,0.017324350336862367,0.008662175168431183
190813,2015-10-03,0,0,0,0.012468827930174564,0.0199501246882793
191074,2015-10-04,0,0,1,0.015151515151515152,0.012396694214876033
192332,2015-10-06,2,3,3,0.03715170278637771,0.009287925696594427
193840,2015-10-07,1,1,2,0.02257636122177955,0.014608233731739707
194656,2015-10-07,1,2,1,0.019005847953216373,0.0029239766081871343
196448,2015-10-09,0,0,0,0.008823529411764706,0.0029411764705882353
199381,2015-10-13,1,1,2,0.019650655021834062,0.006550218340611353
199608,2015-10-13,0,1,0,0.030303030303030304,0.00808080808080808
199924,2015-10-13,5,1,2,0.01216089803554724,0.01403180542563143
201681,2015-10-15,0,0,0,0.017379679144385027,0.03074866310160428
203201,2015-08-30,0,5,4,0.01299545159194282,0.017543859649122806
203449,2015-08-28,1,3,1,0.0057405281285878304,0.011481056257175661
203853,2015-08-26,0,1,0,0.004366812227074236,0.00727802037845706
204035,2015-08-26,0,2,2,0.004016064257028112,0.024096385542168676
204765,2015-10-15,4,3,2,0.02040816326530612,0.004296455424274973
20532,2015-04-01,4,11,2,0.02065775950668037,0.0051387461459403904
205427,2015-10-15,5,0,0,0.01942397856664434,0.010716677829872739
20733,2015-04-02,3,0,0,0.008583690987124463,0.0075107296137339056
207631,2015-10-18,3,1,1,0.018494055482166448,0.009247027741083224
209665,2015-10-20,0,0,0,0.02010968921389397,0.005484460694698354
213701,2015-10-23,0,1,3,0.01838879159369527,0.006129597197898424
214733,2015-10-24,1,4,3,0.023622047244094488,0.01811023622047244
214922,2015-10-24,0,1,0,0.018154311649016642,0.01059001512859304
215854,2015-10-26,2,2,4,0.022222222222222223,0.005925925925925926
218173,2015-10-28,0,2,9,0.012402906539714357,0.008018040591330494
218749,2015-10-28,0,3,5,0.02526002971768202,0.01337295690936107
219110,2015-10-27,3,3,1,0.02661064425770308,0.0056022408963585435
219941,2015-10-29,1,3,2,0.019281332164767746,0.020157756354075372
