docID,Date,Value_Positive,Uncertainty,Surprise,Valence_Pos,Valence_Neg
102536,2015-06-30,0,0,0,0.00964630225080386,0.006430868167202572
106671,2015-07-04,1,0,1,0.005287009063444109,0.0075528700906344415
110844,2015-07-08,2,0,0,0.013043478260869565,0.017391304347826087
112451,2015-07-10,1,1,1,0.008883248730964468,0.0025380710659898475
113233,2015-07-10,0,0,1,0.01276595744680851,0.005957446808510639
117034,2015-07-15,1,0,1,0.011522633744855968,0.01810699588477366
117052,2015-07-15,1,1,2,0.010526315789473684,0.004784688995215311
117063,2015-07-14,0,0,0,0.0,0.015280135823429542
119006,2015-07-16,2,1,1,0.009025270758122744,0.01263537906137184
119469,2015-07-16,1,1,2,0.017837235228539576,0.014492753623188406
119679,2015-07-17,1,0,0,0.00796812749003984,0.009296148738379814
120931,2015-07-18,2,0,0,0.009018036072144289,0.02004008016032064
124695,2015-07-22,0,0,0,0.01120896717373899,0.008807045636509208
130536,2015-07-28,1,3,3,0.009545199326221224,0.007860752386299831
133121,2015-07-30,0,0,0,0.009931245225362872,0.007639419404125287
135811,2015-08-01,0,3,8,0.011883109009336729,0.008609191221050078
138523,2015-08-04,0,0,2,0.005636978579481398,0.012401352874859075
13879,2015-03-26,0,0,0,0.0,0.010752688172043012
141811,2015-08-06,1,1,0,0.005128205128205128,0.011538461538461539
145768,2015-08-11,2,0,0,0.010923535253227408,0.010261502813637868
146322,2015-08-11,3,4,2,0.00832639467110741,0.011656952539550375
146799,2015-08-12,1,1,1,0.010256410256410256,0.01282051282051282
15289,2015-03-27,5,3,2,0.004035512510088781,0.020177562550443905
157521,2015-08-24,0,0,0,0.0,0.0
158647,2015-08-31,1,2,3,0.011213047910295617,0.013251783893985729
161831,2015-09-03,0,0,0,0.00927643784786642,0.0018552875695732839
16456,2015-03-29,9,2,5,0.015779092702169626,0.01282051282051282
165419,2015-09-08,0,0,0,0.014925373134328358,0.004975124378109453
166030,2015-09-08,1,0,1,0.00944386149003148,0.00944386149003148
166233,2015-09-08,0,0,2,0.01873327386262266,0.015165031222123104
166743,2015-09-09,0,0,0,0.0,0.0072992700729927005
167297,2015-09-09,0,1,2,0.020366598778004074,0.013238289205702648
168409,2015-09-10,2,11,6,0.015940488841657812,0.022848034006376194
177381,2015-09-19,3,1,1,0.02406417112299465,0.016042780748663103
178313,2015-09-21,0,0,0,0.0,0.010582010582010581
179996,2015-09-22,0,1,0,0.0028368794326241137,0.0070921985815602835
185567,2015-09-29,0,0,0,0.023809523809523808,0.009523809523809525
186776,2015-09-30,0,0,0,0.013333333333333334,0.0033333333333333335
191765,2015-10-05,10,3,7,0.010570236439499305,0.015299026425591099
192810,2015-10-06,0,1,2,0.011893870082342177,0.010064043915827997
195249,2015-10-08,0,0,0,0.012195121951219513,0.013066202090592335
196258,2015-10-09,1,1,0,0.009079118028534372,0.018158236057068743
198463,2015-10-12,2,1,1,0.016985138004246284,0.006369426751592357
199661,2015-10-13,9,5,19,0.00897226753670473,0.011419249592169658
200147,2015-10-13,1,2,2,0.01368421052631579,0.008421052631578947
201686,2015-10-15,3,11,4,0.015857284440039643,0.023785926660059464
203405,2015-08-28,0,0,0,0.020161290322580645,0.010483870967741936
204115,2015-08-25,4,2,4,0.014331210191082803,0.007961783439490446
204527,2015-08-24,1,2,1,0.015060240963855422,0.01706827309236948
204642,2015-08-23,3,7,3,0.007662835249042145,0.0030651340996168583
204756,2015-10-15,1,0,0,0.013758599124452783,0.011882426516572859
204783,2015-10-15,1,3,1,0.017109526895657808,0.007128969539857421
205237,2015-10-15,0,0,1,0.0013869625520110957,0.027739251040221916
205959,2015-10-16,0,0,0,0.0035555555555555557,0.017777777777777778
205972,2015-10-16,0,1,0,0.0022935779816513763,0.011467889908256881
206432,2015-10-16,2,3,13,0.011519881085098476,0.01560758082497213
207012,2015-10-17,0,1,0,0.009472259810554804,0.009472259810554804
207361,2015-10-17,0,0,0,0.0,0.005813953488372093
208426,2015-10-19,0,0,0,0.0,0.00847457627118644
209360,2015-10-20,0,0,2,0.006097560975609756,0.013211382113821139
209633,2015-10-20,0,0,0,0.009787928221859706,0.008156606851549755
211078,2015-10-21,0,0,0,0.00996168582375479,0.013026819923371647
211104,2015-10-21,1,0,1,0.003469210754553339,0.02515177797051171
21823,2015-04-03,0,0,0,0.0,0.0
219075,2015-10-28,0,1,0,0.0021141649048625794,0.02854122621564482
22236,2015-04-04,4,5,3,0.01602229188436085,0.010101010101010102
22308,2015-04-04,5,2,4,0.006559766763848397,0.007288629737609329
223708,2015-11-04,1,2,2,0.008264462809917356,0.011019283746556474
227865,2015-11-07,0,0,0,0.015625,0.015625
228951,2015-11-08,6,6,5,0.020668058455114824,0.005636743215031315
230148,2015-11-09,1,1,1,0.018221574344023325,0.010932944606413994
231621,2015-11-10,1,3,1,0.016210739614994935,0.011144883485309016
231944,2015-11-11,0,0,0,0.0,0.014925373134328358
234174,2015-11-12,0,2,2,0.007069408740359897,0.013496143958868894
234522,2015-11-13,0,0,1,0.01038961038961039,0.005194805194805195
235187,2015-11-13,2,1,5,0.004887585532746823,0.021016617790811338
23717,2015-04-08,3,2,1,0.010704727921498661,0.021855486173059768
237499,2015-11-16,2,0,0,0.02127659574468085,0.00851063829787234
237807,2015-11-16,1,0,0,0.01406799531066823,0.009378663540445486
238046,2015-11-16,0,2,0,0.005409582689335394,0.011591962905718702
23849,2015-04-09,0,0,2,0.006644518272425249,0.006644518272425249
23979,2015-04-09,2,1,0,0.00998502246630055,0.014478282576135796
243243,2015-11-21,0,0,0,0.005405405405405406,0.002702702702702703
24807,2015-04-11,1,0,0,0.0,0.0
250088,2015-11-29,1,1,6,0.010105448154657293,0.008787346221441126
250755,2015-11-30,6,6,7,0.015116279069767442,0.01366279069767442
253264,2015-12-02,0,0,0,0.0056179775280898875,0.0
253542,2015-12-02,1,0,1,0.025738798856053385,0.008579599618684462
254099,2015-12-03,0,1,0,0.011009174311926606,0.010091743119266056
256300,2015-12-04,0,0,2,0.011577424023154847,0.002894356005788712
258444,2015-12-08,0,1,0,0.014612452350698857,0.003684879288437103
26178,2015-04-13,4,4,2,0.008914100486223663,0.009724473257698542
261985,2015-12-11,0,1,0,0.007583965330444204,0.020585048754062838
264149,2015-12-14,1,3,6,0.010351966873706004,0.029675638371290544
27063,2015-04-14,0,0,0,0.010835913312693499,0.0046439628482972135
27080,2015-04-14,1,0,0,0.01611459265890779,0.008952551477170993
271655,2015-12-22,0,1,3,0.01683291770573566,0.00997506234413965
273832,2015-12-24,0,0,0,0.00625,0.0
276267,2015-12-29,2,0,1,0.007364975450081833,0.014729950900163666
282080,2016-01-06,0,0,2,0.013024602026049204,0.017366136034732273
282339,2016-01-06,2,2,3,0.010607521697203472,0.008678881388621022
285310,2016-01-09,1,0,0,0.011764705882352941,0.011385199240986717
285562,2016-01-10,0,0,0,0.014479638009049774,0.014479638009049774
286749,2016-01-11,0,0,0,0.029880478087649404,0.00796812749003984
287991,2016-01-12,1,1,4,0.013559322033898305,0.02711864406779661
288491,2016-01-13,0,0,0,0.014084507042253521,0.0044014084507042256
28997,2015-04-16,2,0,3,0.012477718360071301,0.023172905525846704
29014,2015-04-16,0,0,0,0.006329113924050633,0.0031645569620253164
290236,2016-01-14,0,0,0,0.006918238993710692,0.010691823899371069
290486,2016-01-14,0,2,2,0.007363770250368188,0.029455081001472753
291072,2016-01-15,0,0,0,0.012594458438287154,0.005037783375314861
29240,2015-04-16,0,0,1,0.008575197889182058,0.007255936675461741
29243,2015-04-16,3,6,4,0.014905149051490514,0.007723577235772358
292700,2016-01-17,0,1,2,0.004581901489117984,0.01718213058419244
293277,2016-01-18,0,0,0,0.004484304932735426,0.014573991031390135
293479,2016-01-18,0,0,0,0.015267175572519083,0.007633587786259542
293632,2016-01-19,0,1,1,0.005194805194805195,0.008658008658008658
293637,2016-01-19,0,1,1,0.01639344262295082,0.005674653215636823
29494,2015-04-16,3,0,1,0.015240328253223915,0.0035169988276670576
295737,2016-01-20,0,3,2,0.01282051282051282,0.017094017094017096
296646,2016-01-21,2,2,1,0.008,0.02266666666666667
296694,2016-01-21,0,0,1,0.014367816091954023,0.022988505747126436
296969,2016-01-21,0,0,1,0.007155635062611807,0.012522361359570662
296983,2016-01-21,0,0,0,0.008337965536409116,0.016675931072818232
297014,2016-01-21,0,1,0,0.005190311418685121,0.007785467128027681
297016,2016-01-21,2,1,2,0.01927710843373494,0.024096385542168676
297343,2016-01-21,0,0,1,0.00950734658599827,0.011235955056179775
297572,2016-01-22,1,3,0,0.016930022573363433,0.01805869074492099
297863,2016-01-22,2,1,2,0.013812154696132596,0.0055248618784530384
29813,2015-04-16,0,0,3,0.018018018018018018,0.022285443338074917
29826,2015-04-16,1,0,0,0.0053475935828877,0.0053475935828877
300244,2016-01-25,2,0,2,0.008843036109064112,0.013264554163596167
