Date,Open,High,Low,Close,Volume,Adj Close,PB,NASDAQ
9/1/2016,130.029999,130.029999,128.360001,129.899994,2807200,129.899994,138.52,0
8/31/2016,130.830002,130.830002,129.139999,129.449997,3639200,129.449997,138.04,0
8/30/2016,133.190002,133.440002,130.679993,130.809998,3437300,130.809998,139.49,0
8/29/2016,132.720001,133.580002,132.320007,132.899994,2380000,132.899994,141.72,0
8/26/2016,133.5,134.080002,131.820007,132.229996,1973700,132.229996,141.01,0
8/25/2016,133.300003,133.300003,132.419998,132.979996,1921400,132.979996,141.81,0
8/24/2016,134.009995,134.649994,133.070007,133.289993,2135900,133.289993,142.14,0
8/23/2016,135.320007,136.369995,133.639999,134.139999,3481900,134.139999,143.04,0
8/22/2016,134.300003,135.669998,133.839996,134.990005,2520500,134.990005,143.95,0
8/19/2016,134.5,135,133.839996,134.440002,1922600,134.440002,143.36,0
8/18/2016,134.720001,135.960007,134.529999,135,2030800,135,143.96,0
8/17/2016,134.850006,134.990005,134.110001,134.720001,2854600,134.720001,143.66,0
8/16/2016,134.149994,135.210007,133.399994,135,2759200,135,143.96,0
8/15/2016,133.699997,135,133.550003,134.660004,2812600,134.660004,143.6,0
8/12/2016,132.899994,133.779999,132.630005,133.100006,2522600,133.100006,141.93,0
8/11/2016,132.850006,133.559998,132.300003,133,2275700,133,141.83,0
8/10/2016,132.100006,133.529999,131.710007,132.279999,2642200,132.279999,141.06,0
8/9/2016,132.729996,132.990005,132.229996,132.619995,3013900,131.529999,141.42,0
8/8/2016,132.139999,132.949997,131.75,132.190002,2443800,131.10354,140.96,0
8/5/2016,132.210007,132.440002,131.009995,131.729996,3119500,130.647314,140.47,0
8/4/2016,132,132.550003,130.960007,131.210007,3008500,130.131599,139.92,0
8/3/2016,131.770004,132.449997,131.619995,131.869995,2359300,130.786163,140.62,0
8/2/2016,132.949997,133.399994,131.350006,131.600006,3156800,130.518393,140.33,0
8/1/2016,133.210007,134.229996,132.699997,133.210007,3067300,132.115161,142.05,0
7/29/2016,133.050003,133.800003,132.300003,133.660004,3559100,132.56146,142.53,0
7/28/2016,135.399994,135.860001,132.550003,133.009995,5142400,131.916793,141.84,0
7/27/2016,136.139999,139.449997,135.710007,135.960007,5661700,134.842559,144.98,0
7/26/2016,132.899994,134.970001,132.509995,134.850006,4667300,133.741681,143.8,0
7/25/2016,133.179993,133.300003,132.380005,132.940002,3078600,131.847376,141.76,0
7/22/2016,131.75,133.490005,130.570007,133.470001,4844900,132.373019,142.33,0
7/21/2016,134.759995,134.979996,133.029999,133.529999,2814100,132.432523,142.39,0
7/20/2016,134.550003,135.179993,134.039993,134.720001,2669400,133.612745,143.66,0
7/19/2016,132.910004,135.669998,132.830002,134.660004,3390000,133.553241,144.07,0
7/18/2016,132.380005,133.889999,131.949997,133.429993,3338400,132.333339,142.75,0
7/15/2016,131.800003,132.75,131.449997,132.389999,2944900,131.301893,141.64,0
7/14/2016,131.630005,131.919998,130.199997,131.550003,3984100,130.468801,140.74,0
7/13/2016,131.279999,131.389999,129.369995,130.110001,3061400,129.040634,139.2,0
7/12/2016,132.800003,133,130.330002,130.809998,4318400,129.734878,139.95,0
7/11/2016,130.839996,133.25,130.800003,132.039993,3929900,130.954764,141.26,0
7/8/2016,128.600006,130.460007,127.660004,130.089996,3597800,129.020794,139.18,0
7/7/2016,126.919998,128.169998,126.260002,127.169998,3049400,126.124795,136.05,0
7/6/2016,127.25,127.309998,123.959999,126.959999,3981700,125.916522,135.83,0
7/5/2016,128.429993,129,126.629997,126.970001,4829400,125.926442,135.84,0
7/1/2016,129.539993,130.339996,129.160004,129.690002,3247900,128.624088,138.75,0
6/30/2016,127.080002,129.869995,127.080002,129.869995,4110800,128.802601,138.94,0
6/29/2016,125.489998,127.32,124.160004,126.989998,4916700,125.946274,20.01,0
6/28/2016,124.5,124.760002,122.699997,123.889999,4438100,122.871754,19.52,0
6/27/2016,125.68,125.75,122.349998,122.699997,6169000,121.691533,19.33,0
6/24/2016,128.139999,129.389999,126.209999,126.519997,9707300,125.480136,19.93,0
6/23/2016,133.910004,134.550003,132.729996,133.550003,4113900,132.452363,21.04,0
6/22/2016,132.100006,133.160004,131.580002,131.770004,2640800,130.686994,20.76,0
6/21/2016,133.190002,133.279999,131.490005,131.520004,2841100,130.439049,20.72,0
6/20/2016,131.360001,133.899994,131.210007,132.75,4331900,131.658935,20.92,0
6/17/2016,129.830002,129.990005,128.809998,129.820007,6739600,128.753024,20.45,0
6/16/2016,129.320007,129.889999,126.900002,129.369995,4066100,128.30671,20.38,0
6/15/2016,130.880005,131.759995,129.970001,130.160004,3324800,129.090226,20.51,0
6/14/2016,129.630005,130.600006,128.5,130.5,3717000,129.427428,20.56,0
6/13/2016,130.789993,131.509995,129.880005,129.919998,3645000,128.852193,20.47,0
6/10/2016,131.759995,132.119995,130.369995,131.139999,3828600,130.062167,20.66,0
6/9/2016,132.100006,133.820007,131.919998,133.100006,3811200,132.006065,20.97,0
6/8/2016,132.520004,133.529999,132.039993,133,3883700,131.90688,20.96,0
6/7/2016,132.410004,133.389999,131.820007,131.929993,4424000,130.845667,20.79,0
6/6/2016,127.599998,132.080002,127.449997,131.899994,6996200,130.815915,20.78,0
6/3/2016,126.419998,127.580002,125.949997,127.379997,5485600,126.333068,20.07,0
6/2/2016,126.650002,127.029999,125.32,126.849998,4802100,125.807425,19.99,0
6/1/2016,126,126.5,124.779999,126.410004,4679600,125.371047,19.92,0
5/31/2016,129.880005,129.979996,126.040001,126.150002,6894400,125.113182,19.88,0
5/27/2016,128.960007,129.699997,128.830002,129.220001,3043700,128.157949,20.36,0
5/26/2016,128.479996,129.899994,128.320007,129.309998,2586300,128.247206,20.37,0
5/25/2016,128,129.779999,127.370003,128.860001,4656700,127.800907,20.3,0
5/24/2016,127.760002,128.809998,126.32,127.5,5102400,126.452085,20.09,0
5/23/2016,127.400002,128.410004,125.879997,127.580002,3977700,126.531429,20.1,0
5/20/2016,129.130005,129.25,127.209999,127.389999,3297700,126.342988,20.07,0
5/19/2016,130.240005,130.429993,127.089996,128.080002,5061600,127.027319,20.18,0
5/18/2016,132.449997,133.179993,130.339996,130.990005,4060400,129.913406,20.64,0
5/17/2016,133.619995,134.490005,131.960007,132.559998,4032000,131.470494,20.89,0
5/16/2016,131.630005,134.410004,131.550003,134.139999,3165400,133.03751,21.14,0
5/13/2016,133.740005,134.940002,131.910004,132.119995,3965900,131.034108,20.82,0
5/12/2016,133.490005,135.039993,133.490005,134.419998,4591300,133.315208,21.18,0
5/11/2016,133.809998,134.990005,132.940002,133,3284100,131.90688,20.96,0
5/10/2016,133.179993,135.240005,132.789993,134.720001,3382700,132.531699,21.23,0
5/9/2016,132.800003,133.809998,131.820007,132.100006,3431100,129.954261,20.81,0
5/6/2016,132.110001,133.630005,131.759995,133.259995,2466000,131.095407,21,0
5/5/2016,131.729996,132.639999,131.119995,132.080002,4199200,129.934582,20.81,0
5/4/2016,131.589996,132.309998,130.529999,130.889999,3340500,128.763909,20.62,0
5/3/2016,132.699997,133.309998,131.460007,132.490005,4028700,130.337925,20.88,0
5/2/2016,134.380005,135,133.229996,134.009995,3703800,131.833225,21.11,0
4/29/2016,134.419998,135.229996,132.809998,134.800003,3716700,132.610401,21.24,0
4/28/2016,136.289993,137.720001,134.5,134.800003,4938800,132.610401,21.24,0
4/27/2016,133.199997,137.889999,131.949997,137.080002,6930800,134.853365,21.6,0
4/26/2016,131.25,133.270004,131.059998,133.240005,6103400,131.075743,20.99,0
4/25/2016,130.449997,131,129.309998,130.75,4600100,128.626183,20.6,0
4/22/2016,131.089996,131.830002,130.5,131.050003,3858100,128.921313,20.65,0
4/21/2016,130.979996,132.639999,130.300003,130.740005,4799600,128.616351,20.6,0
4/20/2016,128.550003,131.360001,128.490005,130.570007,6799000,128.449114,20.57,0
4/19/2016,132.570007,133.850006,132.210007,132.679993,2931000,130.524827,21,0
4/18/2016,131.130005,132.25,130.320007,131.970001,3056000,129.826368,20.88,0
4/15/2016,130.949997,131.600006,130.679993,131.130005,5008700,129.000016,20.75,0
4/14/2016,131.5,131.949997,130.529999,130.850006,4527600,128.724565,20.71,0
4/13/2016,130.490005,131.5,129.809998,131.139999,3514800,129.009848,20.75,0
4/12/2016,127.620003,130.380005,126.68,129.470001,4239200,127.366976,20.49,0
4/11/2016,128.25,129.899994,127.68,127.910004,3611700,125.832318,20.24,0
4/8/2016,128.039993,130.020004,127.610001,127.879997,3939800,125.802799,20.24,0
4/7/2016,127,128.940002,126.559998,127,4596300,124.937096,20.1,0
4/6/2016,127.160004,128.039993,125.75,127.93,3998000,125.85199,20.25,0
4/5/2016,126.150002,128.589996,125.580002,127.029999,4660100,124.966607,20.1,0
4/4/2016,126.540001,127.970001,125.879997,126.339996,5036500,124.287813,19.99,0
