Date,Open,High,Low,Close,Volume,Adj Close,PB,NASDAQ
9/1/2016,126.379997,126.629997,125.599998,126.169998,13507800,126.169998,7.191,1
8/31/2016,125.599998,126.220001,125.099998,126.120003,14157400,126.120003,7.188,1
8/30/2016,126.599998,126.599998,125.150002,125.839996,17772000,125.839996,7.172,1
8/29/2016,124.349998,126.730003,124.349998,126.540001,15815600,126.540001,7.212,1
8/26/2016,124.050003,125.190002,123.910004,124.959999,17434000,124.959999,7.122,1
8/25/2016,123.120003,124.370003,123.099998,123.889999,10700900,123.889999,7.061,1
8/24/2016,124.470001,124.690002,123.089996,123.480003,12214200,123.480003,7.038,1
8/23/2016,124.510002,125.089996,124.25,124.370003,13289400,124.370003,7.089,1
8/22/2016,123.330002,124.830002,123.110001,124.150002,14337700,124.150002,7.076,1
8/19/2016,123.599998,124.160004,123.279999,123.559998,11570400,123.559998,7.042,1
8/18/2016,124.010002,124.260002,123.639999,123.910004,12360000,123.910004,7.062,1
8/17/2016,123.660004,124.379997,122.849998,124.370003,13742300,124.370003,7.089,1
8/16/2016,123.5,123.919998,122.779999,123.300003,14185900,123.300003,7.028,1
8/15/2016,124.910004,124.919998,123.699997,123.900002,19241200,123.900002,7.062,1
8/12/2016,124.699997,125,124.18,124.879997,12127500,124.879997,7.118,1
8/11/2016,125.199997,125.379997,124.75,124.900002,11657500,124.900002,7.119,1
8/10/2016,125.07,125.480003,124.540001,124.879997,10634300,124.879997,7.118,1
8/9/2016,125.339996,126.089996,124.529999,125.059998,19444300,125.059998,7.128,1
8/8/2016,125.25,125.449997,124.550003,125.260002,15233900,125.260002,7.139,1
8/5/2016,124.980003,125.839996,124.620003,125.150002,20184000,125.150002,7.133,1
8/4/2016,122.940002,124.790001,122.510002,124.360001,21066000,124.360001,7.088,1
8/3/2016,123.089996,123.919998,122.309998,122.510002,18525300,122.510002,6.983,1
8/2/2016,124.059998,124.800003,122.07,123.089996,23968400,123.089996,7.016,1
8/1/2016,123.849998,124.580002,122.860001,124.309998,25006900,124.309998,7.085,1
7/29/2016,124.650002,125.839996,123.709999,123.940002,35058800,123.940002,7.064,1
7/28/2016,127.519997,128.330002,123.629997,125,78955800,125,7.125,1
7/27/2016,122.419998,125,121.510002,123.339996,52654200,123.339996,7.03,1
7/26/2016,122,122.07,120.75,121.220001,17612000,121.220001,6.909,1
7/25/2016,121.389999,121.849998,117.779999,121.629997,18487400,121.629997,6.932,1
7/22/2016,119.900002,121.010002,119.309998,121,18422400,121,6.873,1
7/21/2016,121.919998,122.099998,120.25,120.610001,17801700,120.610001,6.851,1
7/20/2016,121.25,122.199997,120.559998,121.919998,20046500,121.919998,6.926,1
7/19/2016,118.989998,120.849998,118.660004,120.610001,21541300,120.610001,6.851,1
7/18/2016,117.32,119.610001,116.889999,119.370003,20868400,119.370003,6.781,1
7/15/2016,117.739998,118.279999,116.580002,116.860001,16646000,116.860001,6.638,1
7/14/2016,117.5,117.639999,116.699997,117.290001,14579700,117.290001,6.663,1
7/13/2016,118.389999,118.400002,116.68,116.779999,16207700,116.779999,6.634,1
7/12/2016,118.629997,118.720001,117.57,117.93,15217700,117.93,6.699,1
7/11/2016,117.709999,118.699997,117.5,117.870003,17711600,117.870003,6.696,1
7/8/2016,116.43,117.5,115.849998,117.239998,18142600,117.239998,6.66,1
7/7/2016,116.629997,116.970001,115.360001,115.849998,16630200,115.849998,6.581,1
7/6/2016,113.360001,116.790001,112.970001,116.699997,24337600,116.699997,6.629,1
7/5/2016,113.940002,114.199997,112.970001,114.199997,14207000,114.199997,6.476,1
7/1/2016,114.199997,115.129997,113.809998,114.190002,14980000,114.190002,6.486,1
6/30/2016,114.669998,115.18,113.669998,114.279999,23192700,114.279999,6.492,1
6/29/2016,113.370003,114.25,113.040001,114.160004,20968300,114.160004,6.925,1
6/28/2016,110.629997,112.75,110.550003,112.699997,26813800,112.699997,6.837,1
6/27/2016,111.57,111.57,108.230003,108.970001,36130400,108.970001,6.61,1
6/24/2016,111.010002,113.68,111,112.080002,40643100,112.080002,6.799,1
6/23/2016,114.370003,115.089996,113.540001,115.080002,16176900,115.080002,6.981,1
6/22/2016,114.650002,114.739998,113.610001,113.910004,14846300,113.910004,6.91,1
6/21/2016,114.120003,115.209999,113.970001,114.379997,19166300,114.379997,6.939,1
6/20/2016,113.769997,114.720001,112.75,113.370003,20785400,113.370003,6.878,1
6/17/2016,114.419998,114.43,112.559998,113.019997,24644300,113.019997,6.856,1
6/16/2016,113.870003,114.5,112.940002,114.389999,19236300,114.389999,6.939,1
6/15/2016,115.300003,115.440002,114.07,114.599998,19819400,114.599998,6.952,1
6/14/2016,114.07,114.949997,113.580002,114.940002,17618500,114.940002,6.973,1
6/13/2016,115,115.480003,113.309998,113.949997,31718200,113.949997,6.913,1
6/10/2016,117.540001,118.110001,116.260002,116.620003,18510800,116.620003,7.075,1
6/9/2016,118.129997,118.68,117.709999,118.559998,13859200,118.559998,7.192,1
6/8/2016,117.760002,118.599998,117.269997,118.389999,14505600,118.389999,7.182,1
6/7/2016,119.239998,119.300003,117.669998,117.760002,17103000,117.760002,7.144,1
6/6/2016,118.620003,119.43,118.360001,118.790001,12744700,118.790001,7.206,1
6/3/2016,118.980003,118.980003,117.860001,118.470001,14135100,118.470001,7.187,1
6/2/2016,118.690002,119.440002,118.220001,118.93,13228300,118.93,7.215,1
6/1/2016,118.5,119.080002,117.82,118.779999,15029500,118.779999,7.206,1
5/31/2016,119.459999,120.099998,118.120003,118.809998,23547600,118.809998,7.208,1
5/27/2016,119.559998,119.849998,119.010002,119.379997,13493600,119.379997,7.242,1
5/26/2016,118.239998,119.760002,117.919998,119.470001,18481300,119.470001,7.248,1
5/25/2016,118.129997,118.669998,117.379997,117.889999,20019800,117.889999,7.152,1
5/24/2016,116.239998,117.730003,116.120003,117.699997,20183600,117.699997,7.14,1
5/23/2016,117.419998,117.599998,115.940002,115.970001,20441000,115.970001,7.035,1
5/20/2016,116.959999,117.989998,116.949997,117.349998,18944800,117.349998,7.119,1
5/19/2016,117.050003,117.489998,115.879997,116.809998,20544100,116.809998,7.086,1
5/18/2016,116.800003,118.269997,116.730003,117.650002,21642300,117.650002,7.137,1
5/17/2016,118.82,119.010002,117.199997,117.349998,21328600,117.349998,7.119,1
5/16/2016,119.379997,119.610001,117.349998,118.669998,31247800,118.669998,7.199,1
5/13/2016,120.379997,120.639999,119.68,119.809998,18124300,119.809998,7.268,1
5/12/2016,119.980003,120.839996,118.900002,120.279999,22035500,120.279999,7.297,1
5/11/2016,120.410004,121.080002,119.419998,119.519997,22038400,119.519997,7.251,1
5/10/2016,119.620003,120.5,119,120.5,23220000,120.5,7.31,1
5/9/2016,119.540001,120.279999,118.900002,119.239998,21138100,119.239998,7.234,1
5/6/2016,117.160004,119.639999,117.110001,119.489998,26395600,119.489998,7.249,1
5/5/2016,118.040001,118.980003,117.25,117.809998,22056700,117.809998,7.147,1
5/4/2016,116.610001,118.300003,116.57,118.059998,23380200,118.059998,7.162,1
5/3/2016,117.519997,118.160004,117.019997,117.43,24117500,117.43,7.124,1
