Date,Open,High,Low,Close,Volume,Adj Close,PB
9/1/2016,12.66,12.72,12.35,12.44,40510400,12.44,1.587
8/31/2016,12.48,12.61,12.48,12.6,26030600,12.6,1.608
8/30/2016,12.47,12.56,12.43,12.55,26040400,12.55,1.601
8/29/2016,12.38,12.5,12.38,12.47,22243200,12.47,1.591
8/26/2016,12.47,12.55,12.34,12.38,22645900,12.38,1.58
8/25/2016,12.3,12.52,12.21,12.47,44713700,12.47,1.591
8/24/2016,12.41,12.44,12.28,12.3,19999600,12.3,1.569
8/23/2016,12.4,12.43,12.33,12.42,34634100,12.42,1.585
8/22/2016,12.35,12.38,12.29,12.36,22458400,12.36,1.577
8/19/2016,12.3,12.41,12.25,12.39,21891400,12.39,1.581
8/18/2016,12.33,12.36,12.27,12.33,23629500,12.33,1.573
8/17/2016,12.33,12.39,12.23,12.39,23434500,12.39,1.581
8/16/2016,12.35,12.43,12.33,12.34,20450100,12.34,1.574
8/15/2016,12.37,12.44,12.36,12.43,16371100,12.43,1.586
8/12/2016,12.29,12.37,12.25,12.33,18816900,12.33,1.573
8/11/2016,12.31,12.37,12.26,12.31,24987300,12.31,1.571
8/10/2016,12.3,12.36,12.23,12.25,24555800,12.25,1.563
8/9/2016,12.16,12.38,12.15,12.31,30097800,12.31,1.571
8/8/2016,12.22,12.33,12.15,12.18,33310600,12.18,1.554
8/5/2016,12.16,12.26,12.16,12.19,31219500,12.19,1.555
8/4/2016,12.12,12.23,12.05,12.08,38443200,12.08,1.541
8/3/2016,12.02,12.2,11.94,12.13,47323300,12.13,1.548
8/2/2016,12.35,12.36,11.9,11.94,101624900,11.94,1.523
8/1/2016,12.61,12.62,12.4,12.48,51963100,12.48,1.592
7/29/2016,12.61,12.88,12.6,12.66,59754100,12.66,1.615
7/28/2016,12.78,12.86,12.45,12.71,142168600,12.71,1.622
7/27/2016,13.86,13.99,13.75,13.84,34625500,13.84,1.766
7/26/2016,13.73,13.88,13.69,13.86,28467200,13.86,1.768
7/25/2016,13.86,13.95,13.76,13.83,26248500,13.68,1.765
7/22/2016,13.92,13.93,13.71,13.84,25134100,13.689892,1.766
7/21/2016,13.87,14.04,13.86,13.92,40574400,13.769024,1.776
7/20/2016,13.61,13.78,13.56,13.74,22588900,13.590976,1.785
7/19/2016,13.56,13.72,13.5,13.65,26183400,13.501952,1.774
7/18/2016,13.56,13.68,13.42,13.65,22545800,13.501952,1.774
7/15/2016,13.63,13.67,13.53,13.57,19546300,13.42282,1.763
7/14/2016,13.57,13.7,13.55,13.59,31803000,13.442604,1.766
7/13/2016,13.49,13.51,13.31,13.48,26779800,13.333796,1.751
7/12/2016,13.38,13.54,13.38,13.45,31320100,13.304122,1.748
7/11/2016,13.17,13.33,13.13,13.27,28626300,13.126075,1.724
7/8/2016,12.89,13.17,12.89,13.09,45945200,12.948027,1.701
7/7/2016,12.57,12.84,12.57,12.75,33473000,12.611714,1.656
7/6/2016,12.32,12.58,12.21,12.57,35091200,12.433666,1.633
7/5/2016,12.57,12.59,12.31,12.4,30243300,12.26551,1.611
7/1/2016,12.88,12.89,12.69,12.72,45067800,12.58204,1.653
6/30/2016,12.56,12.57,12.26,12.57,44983800,12.433666,1.633
6/29/2016,12.49,12.58,12.36,12.55,31937900,12.413883,1.684
6/28/2016,12.42,12.44,12.21,12.39,40640400,12.255619,1.663
6/27/2016,12.43,12.43,12,12.16,52731800,12.028113,1.632
6/24/2016,12.79,12.91,12.45,12.52,96887300,12.384209,1.68
6/23/2016,13.29,13.41,13.28,13.4,24579700,13.254664,1.798
6/22/2016,13.23,13.31,13.15,13.18,20666600,13.037051,1.769
6/21/2016,13.44,13.44,13.18,13.22,36721800,13.076617,1.774
6/20/2016,13.39,13.55,13.39,13.42,29666700,13.274447,1.801
6/17/2016,13.16,13.4,13.15,13.26,37364900,13.116183,1.779
6/16/2016,12.93,13.14,12.85,13.12,26581200,12.977701,1.761
6/15/2016,12.91,13.16,12.88,13.01,25829700,12.868894,1.746
6/14/2016,12.99,13.07,12.76,12.84,30546000,12.700738,1.723
6/13/2016,13.07,13.13,12.96,12.98,20745800,12.839219,1.742
6/10/2016,13.17,13.25,13.05,13.1,27382700,12.957918,1.758
6/9/2016,13.26,13.3,13.14,13.26,19873800,13.116183,1.779
6/8/2016,13.45,13.49,13.35,13.36,18084800,13.215098,1.793
6/7/2016,13.23,13.45,13.18,13.38,27656900,13.234881,1.796
6/6/2016,13.08,13.21,13.04,13.18,25588700,13.037051,1.769
6/3/2016,13.14,13.14,12.9,13.04,39850700,12.898569,1.75
6/2/2016,13.09,13.32,13.05,13.21,41614600,13.066725,1.773
6/1/2016,13.43,13.44,12.97,13.11,58219600,12.967809,1.759
5/31/2016,13.49,13.56,13.4,13.49,26096000,13.343688,1.81
5/27/2016,13.48,13.54,13.4,13.45,17263300,13.304122,1.805
5/26/2016,13.59,13.68,13.37,13.46,18369900,13.314013,1.806
5/25/2016,13.33,13.6,13.33,13.52,26188300,13.373363,1.814
5/24/2016,13.16,13.3,13.16,13.29,19721600,13.145857,1.783
