Date,Open,High,Low,Close,Volume,Adj Close
2016-09-01,12.66,12.72,12.35,12.44,40510400,12.44
2016-08-31,12.48,12.61,12.48,12.60,26030600,12.60
2016-08-30,12.47,12.56,12.43,12.55,26040400,12.55
2016-08-29,12.38,12.50,12.38,12.47,22243200,12.47
2016-08-26,12.47,12.55,12.34,12.38,22645900,12.38
2016-08-25,12.30,12.52,12.21,12.47,44713700,12.47
2016-08-24,12.41,12.44,12.28,12.30,19999600,12.30
2016-08-23,12.40,12.43,12.33,12.42,34634100,12.42
2016-08-22,12.35,12.38,12.29,12.36,22458400,12.36
2016-08-19,12.30,12.41,12.25,12.39,21891400,12.39
2016-08-18,12.33,12.36,12.27,12.33,23629500,12.33
2016-08-17,12.33,12.39,12.23,12.39,23434500,12.39
2016-08-16,12.35,12.43,12.33,12.34,20450100,12.34
2016-08-15,12.37,12.44,12.36,12.43,16371100,12.43
2016-08-12,12.29,12.37,12.25,12.33,18816900,12.33
2016-08-11,12.31,12.37,12.26,12.31,24987300,12.31
2016-08-10,12.30,12.36,12.23,12.25,24555800,12.25
2016-08-09,12.16,12.38,12.15,12.31,30097800,12.31
2016-08-08,12.22,12.33,12.15,12.18,33310600,12.18
2016-08-05,12.16,12.26,12.16,12.19,31219500,12.19
2016-08-04,12.12,12.23,12.05,12.08,38443200,12.08
2016-08-03,12.02,12.20,11.94,12.13,47323300,12.13
2016-08-02,12.35,12.36,11.90,11.94,101624900,11.94
2016-08-01,12.61,12.62,12.40,12.48,51963100,12.48
2016-07-29,12.61,12.88,12.60,12.66,59754100,12.66
2016-07-28,12.78,12.86,12.45,12.71,142168600,12.71
2016-07-27,13.86,13.99,13.75,13.84,34625500,13.84
2016-07-26,13.73,13.88,13.69,13.86,28467200,13.86
2016-07-25,13.86,13.95,13.76,13.83,26248500,13.68
2016-07-22,13.92,13.93,13.71,13.84,25134100,13.689892
2016-07-21,13.87,14.04,13.86,13.92,40574400,13.769024
2016-07-20,13.61,13.78,13.56,13.74,22588900,13.590976
2016-07-19,13.56,13.72,13.50,13.65,26183400,13.501952
2016-07-18,13.56,13.68,13.42,13.65,22545800,13.501952
