Date,Open,High,Low,Close,Volume,Adj Close,PB
9/1/2016,35.990002,36.040001,35.580002,36.02,18925800,36.02,2.777
8/31/2016,35.619999,35.900002,35.580002,35.889999,20562700,35.889999,2.767
8/30/2016,35.59,35.740002,35.52,35.700001,15183200,35.700001,2.752
8/29/2016,35.48,35.669998,35.150002,35.549999,15264300,35.549999,2.741
8/26/2016,35.110001,35.580002,35.049999,35.259998,14469900,35.259998,2.718
8/25/2016,35.049999,35.220001,34.900002,35.09,12428000,35.09,2.705
8/24/2016,35.32,35.41,35.02,35.150002,16343500,35.150002,2.71
8/23/2016,35.5,35.689999,35.299999,35.400002,18316000,35.400002,2.729
8/22/2016,35.200001,35.450001,35.119999,35.360001,14941400,35.360001,2.726
8/19/2016,34.84,35.27,34.740002,35.240002,16417600,35.240002,2.717
8/18/2016,34.959999,35.09,34.75,34.970001,16085200,34.970001,2.696
8/17/2016,35.169998,35.209999,34.77,35.02,18221600,35.02,2.7
8/16/2016,34.77,35.209999,34.77,35.209999,16320900,35.209999,2.714
8/15/2016,34.700001,35.16,34.630001,34.91,18931100,34.91,2.691
8/12/2016,34.52,34.759998,34.439999,34.57,15708300,34.57,2.665
8/11/2016,34.66,34.740002,34.490002,34.68,16364100,34.68,2.674
8/10/2016,35,35,34.5,34.529999,19579000,34.529999,2.662
8/9/2016,35.040001,35.16,34.84,34.919998,12578900,34.919998,2.692
8/8/2016,34.900002,35.169998,34.860001,35.040001,19497300,35.040001,2.701
8/5/2016,34.799999,35.130001,34.700001,34.98,20046200,34.98,2.697
8/4/2016,34.290001,34.619999,34.220001,34.580002,16362600,34.580002,2.666
8/3/2016,34.099998,34.279999,33.990002,34.25,18388800,34.25,2.64
8/2/2016,34.810001,34.869999,34.330002,34.560001,20057300,34.300002,2.664
8/1/2016,34.82,34.91,34.560001,34.849998,18824400,34.587818,2.687
7/29/2016,34.77,34.919998,34.599998,34.860001,18171200,34.597745,2.688
7/28/2016,34.830002,34.830002,34.52,34.77,21667400,34.508422,2.68
7/27/2016,35,35.279999,34.630001,34.830002,23601800,34.567972,2.685
7/26/2016,34.75,35.23,34.700001,35.09,29644400,34.826014,2.705
7/25/2016,34.619999,34.759998,34.57,34.689999,20277700,34.429022,2.674
7/22/2016,34.380001,34.700001,34.259998,34.66,33033700,34.399249,2.672
7/21/2016,34.330002,34.490002,33.860001,34.27,63708600,34.012183,2.64
7/20/2016,35.299999,35.93,35.060001,35.689999,42994200,35.421499,2.75
7/19/2016,34.889999,35.16,34.849998,35.150002,20395400,34.885564,2.708
7/18/2016,35.18,35.200001,34.950001,35.049999,19347200,34.786314,2.7
7/15/2016,35.259998,35.290001,34.900002,35.07,23661900,34.806164,2.702
7/14/2016,35.130001,35.299999,34.959999,35.200001,25296400,34.935187,2.712
7/13/2016,35.040001,35.25,34.880001,35.009998,29120900,34.746614,2.697
7/12/2016,34.509998,34.970001,34.48,34.939999,28064100,34.677141,2.692
7/11/2016,34.040001,34.5,34.040001,34.380001,23820700,34.121356,2.649
7/8/2016,33.650002,34,33.5,34,23341900,33.744214,2.62
