Date,Open,High,Low,Close,Volume,Adj Close,PB
9/1/2016,97.809998,97.980003,96.919998,97.379997,4136500,97.379997,17.28
8/31/2016,97.480003,97.879997,96.760002,97.449997,4682100,97.449997,17.29
8/30/2016,97.839996,98.849998,97.139999,97.449997,6075800,97.449997,17.29
8/29/2016,96.970001,98.449997,96.57,97.300003,7972700,97.300003,17.27
8/26/2016,97.330002,97.949997,96.57,97.580002,6606900,97.580002,17.32
8/25/2016,96.379997,98.25,96.040001,97.32,10768700,97.32,17.27
8/24/2016,96.129997,96.360001,94.910004,95.18,6246800,95.18,16.89
8/23/2016,95.68,96.589996,95.480003,95.940002,5234400,95.940002,17.03
8/22/2016,95.669998,96.129997,94.949997,95.260002,5820200,95.260002,16.91
8/19/2016,96.050003,96.779999,95.510002,95.870003,6938400,95.870003,17.01
8/18/2016,95.980003,97.220001,95.169998,96.160004,7237600,96.160004,17.06
8/17/2016,94.940002,96.93,94.849998,96.370003,8267000,96.370003,17.1
8/16/2016,95.190002,95.610001,94.400002,95.120003,6250600,95.120003,16.88
8/15/2016,96.830002,96.910004,95.239998,95.309998,7271400,95.309998,16.91
8/12/2016,95.529999,96.830002,95.080002,96.589996,6574300,96.589996,17.14
8/11/2016,94.599998,96.330002,94.370003,95.889999,8535500,95.889999,17.02
8/10/2016,94.400002,94.75,92.949997,93.93,6484700,93.93,16.67
8/9/2016,95.120003,95.809998,93.480003,93.989998,9149000,93.989998,16.68
8/8/2016,95.910004,95.93,94,95.110001,10135400,95.110001,16.88
8/5/2016,93.769997,97.739998,93.559998,97.029999,18364800,97.029999,17.22
8/4/2016,93.199997,93.730003,91.82,93.440002,6043400,93.440002,16.58
8/3/2016,93.279999,94.669998,92.550003,93.099998,7030900,93.099998,16.52
8/2/2016,94,94.080002,92.18,93.559998,9836200,93.559998,16.6
8/1/2016,91.230003,94.669998,90.5,94.370003,10666900,94.370003,16.75
7/29/2016,91.190002,91.75,90.589996,91.25,6960200,91.25,16.19
7/28/2016,91.919998,92.209999,90.68,91.650002,6227700,91.650002,16.26
7/27/2016,91.5,92.059998,90.099998,92.040001,8727500,92.040001,16.33
7/26/2016,91.029999,93.099998,90.900002,91.410004,19577600,91.410004,16.22
7/25/2016,85.730003,87.870003,85.010002,87.660004,14135000,87.660004,15.56
7/22/2016,86.480003,86.5,85.110001,85.889999,11363900,85.889999,15.24
7/21/2016,88.300003,88.379997,85.209999,85.989998,16084000,85.989998,15.26
7/20/2016,86.669998,88.489998,85.82,87.910004,23525100,87.910004,15.6
7/19/2016,85.43,86.75,84.5,85.839996,55681200,85.839996,15.23
7/18/2016,98.43,99.839996,97.239998,98.809998,28669700,98.809998,17.54
7/15/2016,98.519997,98.699997,97.410004,98.389999,9041900,98.389999,17.46
7/14/2016,97,98.269997,96.800003,98.019997,9885000,98.019997,17.4
7/13/2016,96.260002,96.720001,94.800003,96.43,8768900,96.43,17.11
7/12/2016,95.07,96.720001,94.089996,95.970001,11617400,95.970001,17.03
7/11/2016,96.190002,96.870003,94.300003,94.669998,13276200,94.669998,16.8
