docID,0,1,2,3,4,5,6,7,8,9
0,pimco,managers,premium,nav,fund,investors,floating,seeking,trailing,assets
1,investors,fed,spy,seeking,rate,market,released,language,correction,monetary
2,fireeye,companies,products,seeking,software,breach,identified,forensics,data,m
3,gold,production,mine,created,deserved,investors,seeking,achieved,expected,producing
4,oil,drilling,equatorial,crude,guinea,block,seeking,projects,expected,lower
5,silver,expected,gold,assets,million,seeking,mine,metal,turnaround,dynamics
6,restaurant,chipotle,cmg,growth,sales,seeking,staring,comp,guidance,sold
7,lennar,housing,data,seeking,investors,sales,gen,home,rising,houses
8,adm,ethanol,archer,metrics,midland,undervalued,investors,sales,price,stock
9,yamana,gold,assets,silver,morro,production,cerro,seeking,improving,focused
10,monsanto,fake,seeking,im,company,brand,drywall,created,roundup,proxy
11,dd,dupont,dds,securing,nemours,pont,management,seeking,du,board
12,euro,currency,inverse,etf,seeking,dollar,created,hovering,appreciated,dipped
13,tata,motors,sales,indian,jaguar,acquired,returned,commercial,south,zest
14,vale,ore,iron,rio,growing,iq,manganese,metals,seeking,tinto
15,transfer,western,metrics,union,seeking,receiving,money,banks,physical,model
16,sales,burger,store,investors,seeking,stores,annualized,london,outlook,received
17,walmart,dot,green,prepaid,contract,seeking,revenue,products,sales,card
18,molycorp,earth,rare,investors,seeking,kg,sales,mcp,production,neo
19,liver,investors,short,trying,seeking,companies,initiatives,distract,hype,insider
20,usg,berkshire,company,hathaway,sales,asbestos,holdings,bankruptcy,debt,million
21,games,dawn,seeking,game,male,attracted,casual,investors,candy,stereotypical
22,analysts,sales,lumber,looking,seeking,flooring,investors,company,forecast,im
23,investors,volatility,sp,seeking,suggested,fed,short,instruments,month,language
24,rackspace,cloud,hosting,growth,seeking,trailing,public,services,revenue,acknowledged
25,guided,seeking,short,services,ancillary,replaceable,closing,driven,management,excluding
26,lockup,alibaba,expiration,short,investors,seeking,float,regarding,data,approximately
27,twitter,facebook,growth,timeline,metrics,created,monetization,adjusted,metric,user
28,engagement,sina,yy,stabilizing,seeking,challenged,ad,revenue,engaged,shrinking
29,tcl,yy,seeking,cautious,representing,devices,idol,carriers,investors,competitive
30,lumber,flooring,investors,seeking,formaldehyde,wood,looking,contract,created,released
31,skyworks,filter,resonant,seeking,models,terms,investors,designing,rejection,manufacturing
32,sales,products,mm,recruiting,company,recruitment,investors,direct,multilevel,pyramid
33,looking,investors,buyback,seeking,company,buying,growth,motors,data,ignition
34,companies,emerging,markets,created,seeking,etf,opportunities,individual,managers,investment
35,foods,sales,market,comparable,farmers,recent,definition,initiatives,analysts,organic
36,projects,fourth,quarter,td,increased,transmission,ci,opportunities,million,okay
37,interpreted,concerning,volkswagen,russia,question,sales,terms,brands,course,situation
