docID,Uncertainty_unspecified,Uncertainty_fear,Uncertainty_hope,Uncertainty_anxiety,Uncertainty_conditionality1,Uncertainty_conditionality2,Surprise_unspecified,Surprise_disappointment,Surprise_relief,Surprise_comparative,Pos,Neg
0,15,0,1,1,3,1,0,0,0,9,13,9
1,26,3,0,2,0,1,1,1,1,17,12,28
2,16,0,0,0,0,1,1,0,0,10,19,20
3,9,0,0,0,0,1,0,0,0,9,13,4
4,4,0,0,0,0,1,0,0,1,10,25,14
5,5,0,0,0,0,1,0,0,0,19,25,6
6,8,0,0,0,1,2,1,0,0,7,12,8
7,6,0,0,0,0,2,1,0,0,9,16,12
8,15,0,0,1,0,1,0,0,0,12,11,25
9,4,0,0,0,0,1,0,0,0,7,21,8
10,20,3,0,0,1,2,3,0,0,20,33,43
11,11,0,1,0,0,1,0,0,0,4,3,17
12,6,0,0,0,0,1,0,0,0,8,3,7
13,1,0,0,0,0,1,0,0,0,9,28,15
14,13,0,0,0,0,1,0,0,0,9,6,14
15,14,0,0,0,0,1,0,0,0,13,18,30
16,7,0,0,0,1,3,0,0,0,8,9,7
17,17,0,1,0,2,3,0,0,0,12,15,29
18,4,0,0,0,0,2,0,0,0,6,3,11
19,13,0,0,0,0,2,0,1,0,5,5,16
